id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
l-hiver,L Hiver,False,UNKNOWN,6,41,644,3,6,0.5470085470085471,0.19444444444444442,0.40056000569489614
comus,Comus,False,MALE,11,148,1905,7,12,0.7901234567901234,0.6944444444444444,0.6559985226477855
l-hymen,L Hymen,False,UNKNOWN,3,20,528,2,4,0.5079365079365079,0.0,0.3650255045912947
la-mode,La Mode,False,FEMALE,1,23,508,1,1,0.4444444444444444,0.0,0.22663748951072898
le-pharaon,Le Pharaon,False,MALE,1,15,578,1,1,0.4444444444444444,0.0,0.22663748951072898
le-bal,Le Bal,False,MALE,1,20,595,1,1,0.4444444444444444,0.0,0.22663748951072898
la-medisance,La Médisance,False,FEMALE,1,17,775,1,1,0.4444444444444444,0.0,0.22663748951072898
hector-criquet,Hector Criquet,False,MALE,1,23,668,1,1,0.4444444444444444,0.0,0.22663748951072898
la-volupte,La Volupté,False,FEMALE,1,6,341,1,1,0.35555555555555557,0.0,0.1383880155969786
jeux-ris,Les Jeux et les Ris de la Suite de l'Hiver,False,UNKNOWN,2,2,372,0,0,0.0,0.0,5.164129351259911e-10
