id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
janot,Janot,False,MALE,16,139,3805,8,14,0.8333333333333334,0.2555555555555556,0.2861190070220024
dodinet,Dodinet,False,MALE,7,72,1254,8,14,0.8333333333333334,0.014814814814814815,0.3439301333754679
ragot,Ragot,False,MALE,9,40,688,9,19,0.9090909090909091,0.11481481481481483,0.35355445718535494
simon,Simon,False,MALE,4,37,605,8,11,0.8333333333333334,0.014814814814814815,0.3439301333754679
madame-ragot,Madame Ragot,False,FEMALE,5,10,289,8,16,0.8333333333333334,0.014814814814814815,0.3439301333754679
perrette,Perrette,False,FEMALE,4,12,214,8,14,0.8333333333333334,0.014814814814814815,0.3439301333754679
l-orfevre,L Orfevre,False,UNKNOWN,1,4,49,2,2,0.5555555555555556,0.0,0.08342210615862387
suzon,Suzon,False,FEMALE,3,5,86,8,13,0.8333333333333334,0.014814814814814815,0.3439301333754679
le-cabaretier,Le Cabaretier,False,UNKNOWN,1,2,29,7,7,0.7142857142857143,0.0,0.31092113230818547
le-notaire,Le Notaire,False,UNKNOWN,1,1,25,7,7,0.7142857142857143,0.0,0.31092113230818547
le-philosophe,Le Philosophe,False,UNKNOWN,1,13,500,1,1,0.47619047619047616,0.0,0.03731390597656199
