id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
germain,Germain,False,MALE,10,52,1206,4,13,0.5909090909090909,0.01282051282051282,0.2704147690789373
hurlubrelu,Hurlubrelu,False,MALE,22,143,3815,13,28,1.0,0.8141025641025641,0.5608500997839303
craquignac,Craquignac,False,UNKNOWN,3,14,531,3,7,0.5652173913043478,0.0,0.21049015200446894
l-huissier,L Huissier,False,UNKNOWN,2,7,215,3,5,0.5652173913043478,0.0,0.21049015200446894
madame-germain,Madame Germain,False,FEMALE,2,12,236,2,3,0.5416666666666666,0.0,0.14201637324885244
mademoiselle-germain,Mademoiselle Germain,False,FEMALE,2,13,122,2,3,0.5416666666666666,0.0,0.14201637324885244
joseph,Joseph,False,MALE,1,6,112,1,1,0.52,0.0,0.11332144738025865
javotte,Javotte,False,FEMALE,8,29,598,5,14,0.6190476190476191,0.019230769230769232,0.3565045654740365
le-porte-faix,Le Porte Faix,False,UNKNOWN,1,4,77,2,2,0.5416666666666666,0.0,0.14201637324885244
le-perruquier,Le Perruquier,False,UNKNOWN,1,2,72,2,2,0.5416666666666666,0.0,0.14201637324885244
le-notaire,Le Notaire,False,UNKNOWN,1,21,375,1,1,0.52,0.0,0.11332144738025865
le-garçon,Le Garçon,False,UNKNOWN,4,22,491,4,10,0.5909090909090909,0.0,0.3110504797697833
le-soldat,Le Soldat,False,UNKNOWN,3,27,492,4,9,0.5909090909090909,0.0,0.3110504797697833
le-cabaretier,Le Cabaretier,False,UNKNOWN,1,1,6,4,4,0.5909090909090909,0.0,0.3110504797697833
