id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
arlequin,Arlequin,False,MALE,21,281,6651,28,41,1.0,0.8425925925925926,0.4185146442493008
colombine,Colombine,False,FEMALE,8,72,1729,10,20,0.6086956521739131,0.018518518518518517,0.2993158133314676
octave,Octave,False,MALE,5,47,777,8,14,0.5833333333333334,0.0,0.2810619397261535
scaramouche,Scaramouche,False,MALE,5,45,849,10,18,0.6086956521739131,0.006613756613756613,0.31579531622075835
monsieur-disanvray,Monsieur Disanvray,False,MALE,1,15,455,1,1,0.509090909090909,0.0,0.04689422572380713
le-docteur,Le Docteur,False,MALE,2,23,346,10,13,0.6086956521739131,0.006613756613756613,0.31579531622075835
leandre,Leandre,False,UNKNOWN,2,6,99,10,13,0.6086956521739131,0.006613756613756613,0.31579531622075835
un-espagnol,Un Espagnol,False,UNKNOWN,1,2,51,5,5,0.5490196078431373,0.0,0.17235951793900064
une-espagnolette,Une Espagnolette,False,UNKNOWN,1,3,85,5,5,0.5490196078431373,0.0,0.17235951793900064
la-comtesse,La Comtesse,False,FEMALE,1,13,362,2,2,0.5185185185185185,0.0,0.05281182510443057
le-chevalier,Le Chevalier,False,MALE,1,8,205,2,2,0.5185185185185185,0.0,0.05281182510443057
pierrot,Pierrot,False,MALE,1,5,149,1,1,0.509090909090909,0.0,0.04689422572380713
le-vieillard,Le Vieillard,False,UNKNOWN,1,11,121,2,2,0.5185185185185185,0.0,0.05281182510443057
la-femme,La Femme,False,UNKNOWN,1,9,151,2,2,0.5185185185185185,0.0,0.05281182510443057
gasconne,Gasconne,False,UNKNOWN,1,2,56,2,2,0.5185185185185185,0.0,0.05281182510443057
seconde-gasconne,Seconde Gasconne,False,UNKNOWN,1,10,103,2,2,0.5185185185185185,0.0,0.05281182510443057
monsieur-de-colafon,Monsieur de Colafon,False,MALE,1,11,173,1,1,0.509090909090909,0.0,0.04689422572380713
madame-de-l-architrave,Madame de l'Architrave,False,FEMALE,2,32,952,3,4,0.5283018867924528,0.0,0.06043872451636441
un-maçon,Un Maçon,False,UNKNOWN,1,3,98,3,3,0.5283018867924528,0.0,0.06043872451636441
la-chanteuse,La Chanteuse,False,UNKNOWN,1,1,22,3,3,0.5283018867924528,0.0,0.06043872451636441
monsieur-de-geresol,Monsieur de Geresol,False,MALE,1,17,229,2,2,0.5185185185185185,0.0,0.05281182510443057
monsieur-de-la-cabriole,Monsieur de la Cabriole,False,MALE,1,17,267,2,2,0.5185185185185185,0.0,0.05281182510443057
le-libraire,Le Libraire,False,UNKNOWN,1,16,574,1,1,0.509090909090909,0.0,0.04689422572380713
le-peintre,Le Peintre,False,UNKNOWN,1,20,588,1,1,0.509090909090909,0.0,0.04689422572380713
jaquet,Jaquet,False,MALE,1,6,111,3,3,0.5283018867924528,0.0,0.09058161302741505
macine,Macine,False,FEMALE,1,9,162,3,3,0.5283018867924528,0.0,0.09058161302741505
un-berger,Un Berger,False,UNKNOWN,1,0,19,8,8,0.5833333333333334,0.0,0.2810619397261535
une-bergere,Une Bergere,False,UNKNOWN,1,1,69,8,8,0.5833333333333334,0.0,0.2810619397261535
mezzetin,Mezzetin,False,MALE,1,1,19,8,8,0.5833333333333334,0.0,0.2810619397261535
