id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
pierrot,Pierrot,False,MALE,1,6,126,1,1,0.48,0.0,0.04135478842060916
octave,Octave,False,MALE,3,9,131,10,11,0.8571428571428571,0.20454545454545456,0.3413471805560123
ismenie,Isménie,False,FEMALE,3,9,117,10,11,0.8571428571428571,0.20454545454545456,0.3413471805560123
l-ogre,L Ogre,False,UNKNOWN,3,6,161,5,5,0.631578947368421,0.16666666666666669,0.16678447911255476
arlequin,Arlequin,False,MALE,2,30,1122,9,10,0.8,0.03787878787878788,0.33687837047532476
la-fee,La Fée,False,FEMALE,3,15,346,9,10,0.8,0.03787878787878788,0.33687837047532476
la-nourrice,La Nourrice,False,FEMALE,1,1,477,1,1,0.4,0.0,0.02020637646534754
le-grand-ogre,Le Grand Ogre,False,UNKNOWN,1,4,89,1,1,0.48,0.0,0.04135478842060916
croquignolet,Croquignolet,False,MALE,1,1,32,8,8,0.7058823529411765,0.0,0.31885555804827037
la-nymphe,La Nymphe,False,UNKNOWN,1,1,25,8,8,0.7058823529411765,0.0,0.31885555804827037
le-berger,Le Berger,False,UNKNOWN,1,2,105,8,8,0.7058823529411765,0.0,0.31885555804827037
le-vieillard,Le Vieillard,False,UNKNOWN,1,2,74,8,8,0.7058823529411765,0.0,0.31885555804827037
la-dame,La Dame,False,UNKNOWN,1,5,221,8,8,0.7058823529411765,0.0,0.31885555804827037
