id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
trajan,Trajan,False,MALE,5,23,1236,9,14,0.6060606060606061,0.03833029543555859,0.2759962369775384
placide,Placide,False,MALE,2,14,1076,7,7,0.5714285714285714,0.018016632490316698,0.2296033913925093
plotine,Plotine,False,FEMALE,4,20,778,9,12,0.6060606060606061,0.03833029543555859,0.2759962369775384
tyrsis,Tyrsis,False,MALE,3,8,535,5,5,0.5405405405405406,0.006596035543403963,0.16441915982348765
lysis,Lysis,False,MALE,2,2,15,5,6,0.4444444444444444,0.003508771929824561,0.13535066737926102
trajane,Trajane,False,FEMALE,2,16,473,5,7,0.5405405405405406,0.0,0.19665252927924493
agapite,Agapite,False,MALE,7,21,407,15,26,0.8,0.2133261183261183,0.39635540256529556
teopiste,Teopiste,False,MALE,12,76,2913,16,32,0.8333333333333334,0.28088706615022396,0.4144284671234999
eustache,Eustache,False,UNKNOWN,8,60,2660,10,17,0.6666666666666666,0.22648325358851668,0.2550460948116709
matelot,Matelot,False,UNKNOWN,1,7,64,4,4,0.5405405405405406,0.0,0.15960298932015787
teopiste-fils,Teopiste Fils,False,UNKNOWN,3,5,111,7,12,0.5882352941176471,0.014210526315789474,0.226537786057547
flore,Flore,False,FEMALE,1,9,358,2,2,0.4166666666666667,0.0,0.035935317328037494
le-pere,Le Pere,False,UNKNOWN,1,1,1,2,2,0.4166666666666667,0.0,0.035935317328037494
arbilan,Arbilan,False,MALE,5,13,305,8,12,0.625,0.031174906964380647,0.27207394754350434
le-messager,Le Messager,False,UNKNOWN,3,10,261,5,7,0.5128205128205128,0.028668261562998405,0.14998128677983724
amintor,Amintor,False,MALE,3,17,727,5,7,0.5555555555555556,0.011695906432748536,0.16560519107160113
la-fortune,La Fortune,False,UNKNOWN,1,10,292,4,4,0.5,0.0,0.13757006465912652
la-fleur,La Fleur,False,UNKNOWN,1,10,352,4,4,0.5,0.0,0.13757006465912652
teopiste-mere,Teopiste Mere,False,UNKNOWN,1,1,2,3,3,0.4878048780487805,0.0,0.12810559969881952
ormond,Ormond,False,UNKNOWN,5,31,1170,6,10,0.5714285714285714,0.00982456140350877,0.20875249437933935
un-soldat,Un Soldat,False,UNKNOWN,1,2,6,3,3,0.4878048780487805,0.0,0.12590916214389733
