id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
maugin,Maugin,False,MALE,10,50,1254,11,23,0.9230769230769231,0.10075757575757575,0.3376541226162632
monsieur-de-villarceaux,Monsieur de Villarceaux,False,UNKNOWN,8,66,498,11,25,0.9230769230769231,0.14393939393939395,0.32722222467135637
monsieur-villarceaux,Monsieur Villarceaux,False,UNKNOWN,1,1,7,2,2,0.5454545454545454,0.0,0.07495955921617418
ninon,Ninon,False,UNKNOWN,8,51,1200,11,29,0.9230769230769231,0.10075757575757575,0.3376541226162632
ensemble,Ensemble,False,UNKNOWN,1,2,20,2,2,0.5454545454545454,0.0,0.07495955921617418
mademoiselle-d-aubigne,Mademoiselle d'Aubigné,False,FEMALE,9,57,897,7,20,0.7058823529411765,0.0060606060606060615,0.2426888189463664
menage,Ménage,False,MALE,9,36,508,10,31,0.8571428571428571,0.024999999999999998,0.3300592618527614
scarron,Scarron,False,MALE,17,144,2670,10,39,0.8571428571428571,0.024999999999999998,0.3300592618527614
girault,Girault,False,MALE,3,37,297,8,14,0.75,0.0,0.2874434367229992
babet,Babet,False,FEMALE,2,14,232,8,9,0.75,0.0,0.2874434367229992
tous,Tous,False,UNKNOWN,3,4,30,9,18,0.8,0.007575757575757575,0.31203250314435266
le-notaire,Le Notaire,False,UNKNOWN,2,5,26,8,13,0.75,0.0,0.2874434367229992
choeur,Choeur,False,UNKNOWN,1,5,33,5,5,0.631578947368421,0.0,0.1779201088431726
