id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
antoine,Marc-Antoine,False,MALE,7,38,3998,4,8,0.5555555555555556,0.2,0.2562643165172645
lucile,Lucile,False,MALE,4,16,793,3,5,0.5263157894736842,0.0,0.2466161148767271
dircet,Dircet,False,MALE,4,12,1128,6,7,0.7142857142857143,0.17481481481481484,0.42866256019071375
cleopatre,Cléopâtre,False,FEMALE,11,46,4269,7,17,0.7692307692307693,0.2955555555555555,0.46871776523383074
eras,Eras,False,FEMALE,6,16,706,3,12,0.5263157894736842,0.0,0.2724936826140624
charmion,Charmion,False,FEMALE,7,14,671,5,13,0.625,0.08222222222222222,0.37731466878323766
cesar,César le Jeune,False,MALE,10,36,2840,6,14,0.6666666666666666,0.26370370370370366,0.3838291627666498
agripe,Agripe,False,UNKNOWN,7,15,1090,3,11,0.47619047619047616,0.007407407407407408,0.21132965020950276
eros,Eros,False,MALE,1,8,443,1,1,0.37037037037037035,0.0,0.05478178355397256
les-deputes,Les Deputes,False,UNKNOWN,1,1,34,1,1,0.4166666666666667,0.0,0.0820522752570712
epaphrodite,Epaphrodite,False,MALE,4,13,703,3,7,0.5555555555555556,0.020740740740740744,0.22742762526215296
