id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
marcel,Marcel,False,MALE,18,83,2189,11,69,0.9230769230769231,0.0363997113997114,0.33172028086603755
genevieve,Geneviève,False,FEMALE,19,79,1917,11,70,0.9230769230769231,0.0363997113997114,0.33172028086603755
la-terreur,La Terreur,False,MALE,20,91,2342,12,67,1.0,0.12730880230880232,0.3384291269987899
fluet,Fluet,False,MALE,10,37,560,8,35,0.75,0.0021645021645021645,0.270043277361524
georges,Georges,False,MALE,19,112,2632,11,69,0.9230769230769231,0.0363997113997114,0.33172028086603755
le-fourrier,Le Fourrier,False,MALE,1,2,13,5,5,0.631578947368421,0.0,0.17782686202411807
le-capitaine,Le Capitaine,False,MALE,3,22,831,10,18,0.8571428571428571,0.022005772005772004,0.3111980175975411
thomas,Thomas,False,MALE,10,42,926,10,40,0.8571428571428571,0.01746031746031746,0.3143704260198521
le-bailli,Le Bailli,False,MALE,3,30,595,6,13,0.6666666666666666,0.0,0.2103413259747763
bras-croises,Bras-Croisés,False,MALE,1,3,77,2,2,0.5454545454545454,0.0,0.0687609199437664
le-prevot,Le Prévôt,False,MALE,6,11,246,10,27,0.8571428571428571,0.07034632034632034,0.297564779276157
le-sergent,Le Sergent,False,MALE,2,4,34,7,8,0.7058823529411765,0.0,0.24101077278602667
le-colonel,Le Colonel,False,MALE,1,8,247,7,7,0.7058823529411765,0.0,0.24398653319054722
