id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
colombine,Colombine,False,FEMALE,7,28,522,10,24,0.8125,0.0,0.28930400830273073
pierrot,Pierrot,False,MALE,8,31,862,11,30,0.8666666666666667,0.017948717948717947,0.30234505363787645
arlequin,Arlequin,False,MALE,21,115,3371,12,57,0.9285714285714286,0.08846153846153845,0.3075651565818769
geronte,Géronte,False,MALE,19,83,1494,11,56,0.8666666666666667,0.0641025641025641,0.2944110265835771
le-docteur,Le Docteur,False,MALE,22,83,1826,12,54,0.9285714285714286,0.1346153846153846,0.29963112952757753
scaramouche,Scaramouche,False,MALE,14,46,1143,11,46,0.8666666666666667,0.017948717948717947,0.30234505363787645
leandre,Leandre,False,MALE,12,45,961,10,34,0.8125,0.0,0.28930400830273073
le-crocheteur,Le Crocheteur,False,UNKNOWN,1,2,21,2,2,0.5416666666666666,0.0,0.058969672641483645
octave,Octave,False,MALE,14,44,920,11,47,0.8666666666666667,0.017948717948717947,0.30234505363787645
mezzetin,Mezzetin,False,MALE,11,36,699,11,41,0.8666666666666667,0.017948717948717947,0.30234505363787645
isabelle,Isabelle,False,FEMALE,17,43,893,10,52,0.8125,0.0,0.28930400830273073
le-geolier,Le Geolier,False,UNKNOWN,1,1,29,2,2,0.52,0.0,0.05769218291315616
leonore,Léonore,False,FEMALE,8,19,458,10,30,0.8125,0.0,0.28930400830273073
la-chanteuse,La Chanteuse,False,FEMALE,1,1,93,5,5,0.5909090909090909,0.0,0.14732221530645595
