id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
caïphe,Caïphe,False,MALE,10,14,1275,5,9,0.50625,0.12719298245614033,0.25946754127093696
pilate,Pilate,False,MALE,12,25,3333,10,13,0.6230769230769231,0.26052631578947366,0.46138623479486324
madeleine,Madeleine,False,FEMALE,11,15,1493,4,5,0.47647058823529415,0.08947368421052632,0.24939194518484747
jesus,Jésus,False,MALE,17,28,2541,12,18,0.675,0.412280701754386,0.4962224997900017
un-docteur,Un Docteur,False,UNKNOWN,5,6,355,5,7,0.4909090909090909,0.06578947368421051,0.25411370662781196
le-bourgeois,Le Bourgeois,False,UNKNOWN,1,1,49,1,1,0.3951219512195122,0.0,0.09448820275449156
un-pretre,Un Pretre,False,UNKNOWN,6,7,677,2,4,0.36000000000000004,0.003508771929824561,0.09779427549160682
zeline,Zéline,False,FEMALE,1,2,84,1,1,0.31764705882352945,0.0,0.0474876801608186
un-autre-docteur,Un Autre Docteur,False,UNKNOWN,1,1,87,2,2,0.405,0.0,0.13624242386554158
un-negociant,Un Negociant,False,UNKNOWN,3,5,249,1,1,0.37674418604651166,0.0,0.08785502104372869
un-bourgeois,Un Bourgeois,False,UNKNOWN,4,4,597,1,1,0.3951219512195122,0.0,0.09448820275449156
la-femme,La Femme,False,UNKNOWN,1,1,19,1,1,0.3951219512195122,0.0,0.09448820275449156
le-disciple,Le Disciple,False,UNKNOWN,2,2,42,2,2,0.405,0.0,0.1524946972776597
pierre,Pierre,False,UNKNOWN,7,10,562,5,8,0.4909090909090909,0.020175438596491225,0.3046339165164654
un-disciple,Un Disciple,False,UNKNOWN,3,3,206,2,2,0.3857142857142857,0.0,0.13694947319022646
judas,Judas,False,UNKNOWN,2,3,93,3,3,0.45,0.0,0.24034971831942592
le-docteur,Le Docteur,False,UNKNOWN,1,4,36,2,2,0.4263157894736842,0.0,0.14287560557630444
le-peuple,Le Peuple,False,UNKNOWN,2,2,36,4,5,0.4909090909090909,0.021052631578947364,0.2578274748234776
le-pretre,Le Pretre,False,UNKNOWN,1,1,103,0,0,0.0,0.0,1.962470600341277e-12
un-membre-de-la-suite-de-caïphe,Un Membre de la Suite de Caïphe,False,UNKNOWN,1,1,58,1,1,0.3306122448979592,0.0,0.04940687266979397
l-un-d-eux,L un D Eux,False,UNKNOWN,1,1,104,0,0,0.0,0.0,1.962470600341277e-12
