id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
la-comtesse,La Comtesse,False,FEMALE,9,57,1588,6,16,0.6923076923076923,0.27314814814814814,0.4201483562376744
lisette,Lisette,False,FEMALE,1,3,149,1,1,0.42857142857142855,0.0,0.09206637990434353
le-marquis,Le Marquis,False,MALE,13,69,1482,4,21,0.6,0.0,0.3693489653151271
monsieur-du-berceau,Monsieur du Berceau,False,MALE,9,34,1136,4,16,0.6,0.0,0.3693489653151271
le-baron,Le Baron,False,MALE,17,93,2182,6,20,0.75,0.27314814814814814,0.4465670592777967
lucile,Lucile,False,FEMALE,8,63,1181,6,13,0.75,0.2083333333333333,0.4494698250314993
coraline,Coraline,False,FEMALE,3,29,275,3,4,0.5294117647058824,0.050925925925925916,0.1744062249871811
luclle,Luclle,False,UNKNOWN,1,1,9,2,2,0.5,0.0,0.19055816168607873
arlequin,Arlequin,False,MALE,5,35,523,4,5,0.6,0.16666666666666666,0.25519489434097165
scapin,Scapin,False,UNKNOWN,1,7,75,2,2,0.4090909090909091,0.0,0.09413917165748352
