id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
l-ocean,L'Océan,False,MALE,2,3,209,13,14,1,0,0.26726124191242434
thetis,Thétis,False,FEMALE,2,3,217,13,14,1,0,0.26726124191242434
la-seine,La Seine,False,FEMALE,1,3,207,13,13,1,0,0.26726124191242434
deux-tritons,Deux Tritons,False,UNKNOWN,1,1,35,13,13,1,0,0.26726124191242434
deux-nereides,Deux Nereides,False,UNKNOWN,1,1,53,13,13,1,0,0.26726124191242434
une-jeune-fontaine,Une Jeune Fontaine,False,UNKNOWN,1,0,58,13,13,1,0,0.26726124191242434
un-ruisseau,Un Ruisseau,False,UNKNOWN,1,0,58,13,13,1,0,0.26726124191242434
deux-jeunes-ruisseaux,Deux Jeunes Ruisseaux,False,UNKNOWN,1,1,114,13,13,1,0,0.26726124191242434
le-gange,Le Gange,False,MALE,1,1,129,13,13,1,0,0.26726124191242434
le-nil,Le Nil,False,MALE,1,1,98,13,13,1,0,0.26726124191242434
le-pactole,Le Pactole,False,MALE,1,1,68,13,13,1,0,0.26726124191242434
le-danube,Le Danube,False,MALE,1,1,98,13,13,1,0,0.26726124191242434
ensemble,Ensemble,False,UNKNOWN,1,1,15,13,13,1,0,0.26726124191242434
tous-ensemble,Tous Ensemble,False,UNKNOWN,1,1,28,13,13,1,0,0.26726124191242434
