id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
oronte,Oronte,False,UNKNOWN,1,12,595,1,1,0.047619047619047616,0.0,5.623773551468772e-12
cleante,Cleante,False,UNKNOWN,1,11,292,1,1,0.047619047619047616,0.0,5.623773551468772e-12
premiere-ombre,Premiere Ombre,False,UNKNOWN,2,11,385,3,3,0.41927990708478513,0.08571428571428572,0.06080849045962362
deuxieme-ombre,Deuxieme Ombre,False,UNKNOWN,1,9,194,1,1,0.29136400322841,0.0,0.008916504432956013
caron,Caron,False,MALE,9,38,737,12,22,0.6611721611721612,0.29285714285714287,0.3461188836727334
le-poete,Le Poète,False,MALE,1,8,72,2,2,0.40929705215419504,0.0,0.059668224663757236
pluton,Pluton,False,MALE,12,75,1380,16,31,0.7474120082815735,0.31428571428571433,0.48198421572930855
radamante,Radamante,False,MALE,2,4,43,4,6,0.491156462585034,0.0,0.17181062426003965
minos,Minos,False,MALE,2,8,365,4,6,0.491156462585034,0.0,0.17181062426003965
les-ames,Les Ames,False,UNKNOWN,1,3,3,2,2,0.4646074646074646,0.0,0.12142497748135564
la-precieuse,La Précieuse,False,FEMALE,1,6,264,3,3,0.4775132275132275,0.0,0.18015632419831606
moliere,Molière,False,MALE,7,26,1197,12,21,0.63668430335097,0.14523809523809525,0.4005430233770957
le-marquis,Le Marquis,False,UNKNOWN,1,3,46,3,3,0.4775132275132275,0.0,0.18015632419831606
le-cocu,Le Cocu,False,MALE,1,1,291,2,2,0.42976190476190473,0.0,0.1294046039675148
nicole,Nicole,False,FEMALE,1,9,386,3,3,0.4775132275132275,0.0,0.18015632419831606
pourceaugnac,Pourceaugnac,False,MALE,1,8,223,2,2,0.42976190476190473,0.0,0.1294046039675148
madame-jourdain,Madame Jourdain,False,FEMALE,1,8,63,3,3,0.4775132275132275,0.0,0.18015632419831606
premier-medecin,Premier Medecin,False,UNKNOWN,1,1,14,5,5,0.4646074646074646,0.0,0.23103232584763908
second-medecin,Second Medecin,False,UNKNOWN,1,1,19,5,5,0.4646074646074646,0.0,0.23103232584763908
troisieme-medecin,Troisieme Medecin,False,UNKNOWN,1,3,99,5,5,0.4646074646074646,0.0,0.23103232584763908
quatrieme-medecin,Quatrieme Medecin,False,UNKNOWN,1,3,160,5,5,0.4646074646074646,0.0,0.23103232584763908
les-medecins,Les Medecins,False,UNKNOWN,1,3,12,4,4,0.491156462585034,0.0,0.17181062426003965
