id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
eraste,Eraste,False,MALE,6,34,512,8,18,0.9,0.022023809523809525,0.3181072876786222
pasquin,Pasquin,False,MALE,15,122,2200,9,42,1.0,0.03293650793650793,0.3506756948397673
marton,Marton,False,MALE,21,122,1724,8,52,0.9,0.007936507936507936,0.3269283293381234
le-baron,Le Baron,False,MALE,17,150,1926,8,44,0.9,0.007936507936507936,0.3269283293381234
romarin,Romarin,False,UNKNOWN,11,59,657,7,28,0.8181818181818182,0.003968253968253968,0.29137138132921697
ariste,Ariste,False,MALE,8,32,463,9,27,1.0,0.03293650793650793,0.3506756948397673
fribourg,Fribourg,False,MALE,5,18,201,9,16,1.0,0.03293650793650793,0.3506756948397673
mariane,Mariane,False,MALE,8,18,161,7,21,0.8181818181818182,0.003968253968253968,0.29137138132921697
paquinoy,Paquinoy,False,UNKNOWN,9,47,638,8,19,0.9,0.022023809523809525,0.3181072876786222
le-laquais,Le Laquais,False,UNKNOWN,2,5,19,5,7,0.6923076923076923,0.0,0.2124531699796813
