id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
corneille,Corneille,False,UNKNOWN,9,74,1849,10,26,1.0,0.07851851851851852,0.3642402758791506
thomas,Thomas,False,UNKNOWN,10,50,1111,10,29,1.0,0.07851851851851852,0.3642402758791506
mademoiselle-corneille,Mademoiselle Corneille,False,MALE,4,14,120,6,12,0.7142857142857143,0.0044444444444444444,0.23471481354783105
madame-corneille,Madame Corneille,False,MALE,5,18,152,9,20,0.9090909090909091,0.044444444444444446,0.3422899986868987
moliere,Molière,False,MALE,6,57,1773,10,25,1.0,0.07851851851851852,0.3642402758791506
fontenelle,Fontenelle,False,MALE,4,24,271,6,9,0.7142857142857143,0.0044444444444444444,0.23471481354783105
valere,Valère,False,MALE,4,33,395,5,8,0.6666666666666666,0.0,0.19647418921659185
boileau,Boileau,False,UNKNOWN,2,27,237,7,12,0.7692307692307693,0.0,0.28984497005099996
racine,Racine,False,MALE,2,19,172,7,12,0.7692307692307693,0.0,0.28984497005099996
la-fontaine,La Fontaine,False,MALE,2,13,233,7,12,0.7692307692307693,0.0,0.28984497005099996
le-page,Le Page,False,UNKNOWN,1,4,33,7,7,0.7692307692307693,0.0,0.28984497005099996
