id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
clodius,Clodius,False,MALE,7,19,1355,5,11,0.6923076923076923,0.10092592592592592,0.33064525519434074
appius,Appius,False,MALE,13,44,3083,5,14,0.6923076923076923,0.11203703703703703,0.3482150877261868
fabian,Fabian,False,MALE,1,1,19,2,2,0.47368421052631576,0.0,0.13571111084682216
plautie,Plautie,False,FEMALE,16,45,2532,8,21,0.9,0.36018518518518516,0.46780279700059946
virginie,Virginie,False,FEMALE,14,55,2945,7,19,0.8181818181818182,0.13796296296296293,0.45222233739556233
camille,Camille,False,FEMALE,3,8,633,3,4,0.5625,0.0,0.25498541135104896
severe,Sévère,False,MALE,3,5,424,3,4,0.5625,0.0,0.25498541135104896
icile,Icile,False,MALE,7,34,2124,5,10,0.6923076923076923,0.03888888888888888,0.3554808970639928
fulvie,Fulvie,False,FEMALE,1,2,85,1,1,0.5,0.0,0.09351814762303066
pison,Pison,False,MALE,2,3,91,3,4,0.6,0.0,0.2500210608187912
