id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
gilles,Gilles,False,MALE,10,34,832,8,26,0.7,0.020146520146520148,0.26842642610048667
la-plume,La Plume,False,UNKNOWN,9,42,764,8,28,0.7,0.015384615384615385,0.2698493313982823
madame-savon,Madame Savon,False,FEMALE,13,61,1192,14,48,1.0,0.18754578754578752,0.3797978172394007
suzette,Suzette,False,FEMALE,8,23,226,12,31,0.875,0.09597069597069599,0.34942626714214864
madame-laiguille,Madame Laiguille,False,FEMALE,8,26,416,12,35,0.875,0.08131868131868132,0.35390641185298677
theriaque,Theriaque,False,UNKNOWN,10,24,352,13,41,0.9333333333333333,0.12527472527472527,0.3678387843319598
le-savoyard,Le Savoyard,False,UNKNOWN,1,5,100,3,3,0.56,0.0,0.11537182135234014
monsieur-la-plume,Monsieur la Plume,False,MALE,1,6,128,4,4,0.5833333333333334,0.0,0.16779524097097417
monsieur-foulon,Monsieur Foulon,False,MALE,4,4,38,6,12,0.6363636363636364,0.005494505494505495,0.20731341802403966
madame-foulon,Madame Foulon,False,MALE,3,4,36,6,11,0.6363636363636364,0.005494505494505495,0.20731341802403966
un-garçon,Un Garçon,False,UNKNOWN,1,4,46,4,4,0.5833333333333334,0.0,0.13440855151400327
madame-rognon,Madame Rognon,False,FEMALE,2,10,167,4,6,0.5833333333333334,0.0,0.15859267547376216
foulonet,Foulonet,False,MALE,4,20,483,7,14,0.6666666666666666,0.0018315018315018315,0.2564673931930458
gllles,Gllles,False,UNKNOWN,1,1,8,6,6,0.6363636363636364,0.0,0.22849579380794802
le-notaire,Le Notaire,False,UNKNOWN,1,2,26,5,5,0.6086956521739131,0.0,0.19900155959986202
