id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
le-comte,Le Comte,False,MALE,20,130,3142,7,30,0.6521739130434783,0.011904761904761906,0.3235030216094338
hortense,Hortense,False,FEMALE,6,62,1020,4,8,0.5769230769230769,0.0,0.21573890148515878
cleonte,Cléonte,False,MALE,7,45,692,5,12,0.6,0.0,0.26547555637532533
aurelie,Aurelie,False,UNKNOWN,18,93,1801,11,31,0.7894736842105263,0.26587301587301587,0.3924898537049307
lise,Lise,False,FEMALE,1,10,154,1,1,0.45454545454545453,0.0,0.05747210850589928
le-valet-de-chambre,Le Valet de Chambre,False,UNKNOWN,4,4,18,6,10,0.625,0.050793650793650794,0.23484608821660555
blondel,Blondel,False,MALE,1,6,27,2,2,0.5,0.0,0.09186087030961931
le-marquis,Le Marquis,False,UNKNOWN,34,181,4991,13,53,0.8823529411764706,0.41190476190476194,0.4338331704419162
davon,Davon,False,MALE,13,42,604,7,18,0.6521739130434783,0.011904761904761906,0.3235030216094338
le-suisse,Le Suisse,False,UNKNOWN,1,4,15,1,1,0.4838709677419355,0.0,0.06352616976426756
le-duc,Le Duc,False,UNKNOWN,10,73,1104,8,24,0.6818181818181818,0.050793650793650794,0.33966102456316266
stemmate,Stemmate,False,MALE,1,6,87,4,4,0.5555555555555556,0.0,0.172981543564997
clenard,Clenard,False,MALE,2,10,196,4,5,0.5555555555555556,0.0,0.172981543564997
le-baron,Le Baron,False,UNKNOWN,6,41,1104,5,11,0.6,0.006349206349206349,0.23857193656127365
le-maitre-d-hotel,Le Maitre D Hotel,False,UNKNOWN,1,1,4,1,1,0.4838709677419355,0.0,0.06352616976426756
dimanche,Dimanche,False,MALE,1,5,136,3,3,0.5555555555555556,0.0,0.1559321474056362
