id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
joseph,Joseph,False,MALE,4,14,290,9,11,0.6956521739130435,0.07083333333333333,0.20317108220309577
choeur,Choeur,False,UNKNOWN,5,10,210,14,28,0.8888888888888888,0.15892857142857145,0.3115702363877093
choeur-des-garçons,Choeur des Garçons,False,UNKNOWN,1,1,27,2,2,0.5161290322580645,0.0,0.048193761444777605
martin,Martin,False,MALE,3,22,401,12,14,0.8,0.07976190476190476,0.2956712661429711
les-garçons,Les Garçons,False,UNKNOWN,1,1,21,2,2,0.48484848484848486,0.0,0.046705009846343445
juliette,Juliette,False,FEMALE,6,76,1269,12,26,0.8,0.06309523809523808,0.296424745500127
duchatel,Duchâtel,False,MALE,8,84,1250,12,27,0.8,0.06309523809523808,0.296424745500127
blondin,Blondin,False,MALE,8,100,2391,11,27,0.7619047619047619,0.004761904761904761,0.2916727934395924
ensemble,Ensemble,False,UNKNOWN,1,1,22,2,2,0.47058823529411764,0.0,0.0555065419830727
duvivier,Duvivier,False,UNKNOWN,3,32,536,10,13,0.7272727272727273,0.0,0.27427905771366506
virginie,Virginie,False,FEMALE,3,6,89,11,22,0.7619047619047619,0.004761904761904761,0.29167279343959235
mademoiselle-bernard,Mademoiselle Bernard,False,FEMALE,3,7,118,11,22,0.7619047619047619,0.004761904761904761,0.29167279343959235
tous,Tous,False,UNKNOWN,4,7,52,12,22,0.8,0.05416666666666667,0.29005052162679845
saint-eloy,Saint-Eloy,False,MALE,2,5,82,12,14,0.8,0.05416666666666667,0.29005052162679845
un-amateur,Un Amateur,False,UNKNOWN,1,1,10,4,4,0.5333333333333333,0.0,0.09210890499983453
un-autre-amateur,Un Autre Amateur,False,UNKNOWN,1,1,13,4,4,0.5333333333333333,0.0,0.09210890499983453
choeur-general,Choeur General,False,UNKNOWN,1,1,20,10,10,0.7272727272727273,0.0,0.27427905771366506
