id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
les-deux-colporteurs,Les Deux Colporteurs,False,UNKNOWN,1,3,20,2,2,0.18181818181818182,0.0,1.6904976994818268e-06
premier-colporteur,Premier Colporteur,False,UNKNOWN,1,20,188,2,2,0.18181818181818182,0.0,1.6904976994818268e-06
second-colporteur,Second Colporteur,False,UNKNOWN,1,18,114,2,2,0.18181818181818182,0.0,1.6904976994818268e-06
le-colporteur,Le Colporteur,False,UNKNOWN,7,36,540,6,15,0.5818181818181819,0.0,0.36181316082685344
delphine,Delphine,False,FEMALE,12,59,548,6,25,0.5818181818181819,0.0,0.36181316082685344
arlequin,Arlequin,False,MALE,17,129,2004,7,32,0.6464646464646464,0.045454545454545456,0.379232873172652
la-ronde,La Ronde,False,UNKNOWN,7,47,675,6,16,0.5818181818181819,0.0,0.36181316082685344
gilles,Gilles,False,MALE,18,166,1592,8,29,0.7272727272727273,0.10909090909090909,0.39665258551845045
balourd,Balourd,False,MALE,1,21,196,2,2,0.41558441558441556,0.0,0.1252927148985754
l-imprimeur,L'Imprimeur,False,MALE,3,33,128,7,11,0.6464646464646464,0.045454545454545456,0.379232873172652
le-prote,Le Prote,False,MALE,3,9,120,6,10,0.5818181818181819,0.0,0.36181316082685344
ensemble,Ensemble,False,UNKNOWN,1,1,6,2,2,0.41558441558441556,0.0,0.12529271489857538
