id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
cleonte,Cléonte,False,FEMALE,11,70,1228,10,30,0.8571428571428571,0.0363997113997114,0.3346339527406223
croquet,Croquet,False,MALE,14,91,2975,10,33,0.8571428571428571,0.0363997113997114,0.3346339527406223
albert,Albert,False,MALE,11,29,763,9,26,0.8,0.009379509379509378,0.3171375501567262
isabelle,Isabelle,False,FEMALE,7,34,709,8,13,0.75,0.025757575757575757,0.276575224702813
clitandre,Clitandre,False,MALE,9,26,375,7,16,0.7058823529411765,0.0021645021645021645,0.2552949312893936
ragotin,Ragotin,False,MALE,13,46,1545,10,26,0.8571428571428571,0.10180375180375181,0.32416988898729215
elise,Elise,False,FEMALE,9,48,989,10,25,0.8571428571428571,0.06302308802308802,0.3215358189837039
judith,Judith,False,FEMALE,4,14,410,5,9,0.6,0.007575757575757576,0.16921504917890634
clarice,Clarice,False,FEMALE,2,8,459,4,4,0.5714285714285714,0.0030303030303030307,0.12861221671230566
isidore,Isidore,False,UNKNOWN,19,111,4132,11,36,0.9230769230769231,0.08791486291486293,0.34793220553956267
clemence,Clémence,False,FEMALE,4,15,487,8,11,0.75,0.00468975468975469,0.28967335845973136
maurice,Maurice,False,MALE,8,19,168,8,19,0.75,0.06125541125541126,0.2656218916304238
celiane,Céliane,False,FEMALE,1,1,5,2,2,0.5,0.0,0.06801436780107509
