id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
un-senateur,Un Senateur,False,UNKNOWN,3,4,518,4,6,0.4666666666666667,0.06593406593406594,0.26907589468051274
un-autre-senateur,Un Autre Senateur,False,UNKNOWN,2,2,327,3,5,0.42424242424242425,0.0,0.22235524536325735
sicinie,Sicinie,False,MALE,4,11,903,5,7,0.5833333333333334,0.2545787545787546,0.39372550153048114
coriolan,Coriolan,False,MALE,15,38,3900,7,16,0.6666666666666666,0.48534798534798534,0.4318840113485595
sancine,Sancine,False,MALE,8,13,1094,2,8,0.4666666666666667,0.0,0.2144189725674692
aufidie,Aufidie,False,MALE,9,23,2243,6,11,0.6086956521739131,0.38278388278388287,0.42168444723379356
un-second-senateur,Un Second Senateur,False,UNKNOWN,1,1,341,3,3,0.42424242424242425,0.0,0.22235524536325735
verginie,Verginie,False,FEMALE,7,16,2248,4,8,0.5185185185185185,0.184981684981685,0.23270698217327718
velumnie,Velumnie,False,FEMALE,3,6,861,2,5,0.45161290322580644,0.0,0.16694805793354328
camille,Camille,False,MALE,2,4,238,1,2,0.35,0.0,0.05845712855512722
lieutenant-des-volques,Lieutenant des Volques,False,UNKNOWN,1,1,47,3,3,0.4117647058823529,0.0,0.21287833600603345
un-autre-lieutenant,Un Autre Lieutenant,False,UNKNOWN,1,1,34,3,3,0.4117647058823529,0.0,0.21287833600603345
un-soldat-des-volques,Un Soldat des Volques,False,MALE,1,1,24,3,3,0.4117647058823529,0.0,0.21287833600603345
un-lieutenant,Un Lieutenant,False,UNKNOWN,1,1,89,2,2,0.42424242424242425,0.0,0.14488724352075105
un-volque,Un Volque,False,UNKNOWN,1,1,49,2,2,0.42424242424242425,0.0,0.14488724352075105
