id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
la-france,La France,False,FEMALE,3,7,546,6,9,0.2222222222222222,0.0028490028490028487,7.619722923293245e-06
la-victoire,La Victoire,False,FEMALE,2,5,301,3,4,0.14814814814814814,0.0,4.31586708809676e-06
mars,Mars,False,MALE,1,1,149,0,0,0.0,0.0,1.1749319099701799e-26
la-paix,La Paix,False,FEMALE,3,5,635,6,8,0.2222222222222222,0.0028490028490028487,7.619722923293245e-06
la-discorde,La Discorde,False,FEMALE,1,1,16,5,5,0.19047619047619047,0.0,6.934288364183014e-06
l-envie,L'Envie,False,FEMALE,1,1,16,5,5,0.19047619047619047,0.0,6.934288364183014e-06
l-hymenee,L'Hyménée,False,FEMALE,2,6,327,6,8,0.2222222222222222,0.0028490028490028487,7.619722923293245e-06
choeur-de-musique,Choeur de Musique,False,UNKNOWN,1,1,28,5,5,0.19047619047619047,0.0,6.934288364183015e-06
medee,Médée,False,FEMALE,12,59,4009,11,24,0.49519890260631005,0.0361653778320445,0.3281231451555541
chalciope,Chalciope,False,FEMALE,2,5,722,3,3,0.32610659439927736,0.0,0.10721269698146842
aaete,Aaete,False,MALE,10,30,2882,11,23,0.49519890260631005,0.0468966218966219,0.30942824880066355
absyrte,Absyrte,False,MALE,9,26,1952,8,18,0.445679012345679,0.011823361823361822,0.26521003343648397
jason,Jason,False,MALE,14,43,2971,14,32,0.5570987654320988,0.10492809659476328,0.36949285536259496
pelee,Pélée,False,MALE,2,2,120,6,7,0.39324618736383443,0.007692307692307694,0.16330435701585996
iphite,Iphite,False,MALE,1,1,98,2,2,0.32610659439927736,0.0,0.06327543958769032
orphee,Orphée,False,MALE,2,3,122,9,9,0.445679012345679,0.02484059150725817,0.25961948189961415
iris,Iris,False,FEMALE,1,1,61,5,5,0.38201058201058197,0.0,0.15658742201618767
junon,Junon,False,FEMALE,9,23,1664,14,25,0.5570987654320988,0.09336250169583504,0.36950654902604857
pallas,Pallas,False,FEMALE,1,1,81,5,5,0.38201058201058197,0.0,0.15658742201618767
sirenes,Deux Sirènes,False,UNKNOWN,1,1,86,6,6,0.41782407407407407,0.0,0.22098197017172658
hypsipyle,Hypsipyle,False,FEMALE,11,50,2574,11,24,0.49519890260631005,0.07127255460588794,0.30741653921190026
glauque,Glauque,False,MALE,1,1,100,6,6,0.41782407407407407,0.0,0.22098197017172658
voix,Voix,False,UNKNOWN,1,2,53,1,1,0.297119341563786,0.0,0.03650904353980732
amour,Amour,False,UNKNOWN,1,1,67,2,2,0.3428300094966762,0.0,0.08776418317098014
zethes,Zéthès,False,MALE,2,2,50,6,8,0.41782407407407407,0.004727988061321395,0.20244825707228536
calais,Calais,False,MALE,1,1,29,4,4,0.3613613613613614,0.0,0.13059168166285115
soleil,Soleil,False,UNKNOWN,1,2,195,4,4,0.38201058201058197,0.0,0.13292634755236998
jupiter,Jupiter,False,MALE,1,1,159,4,4,0.38201058201058197,0.0,0.13292634755236998
