id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
le-roi,Le Roi,False,UNKNOWN,10,56,2677,7,21,0.8181818181818182,0.06018518518518519,0.4003657285873018
araxe,Araxe,False,MALE,8,44,2371,5,14,0.6923076923076923,0.0,0.3279268370811519
berenice,Bérénice,False,FEMALE,12,58,4056,7,17,0.8181818181818182,0.06018518518518519,0.4003657285873018
clitie,Clitie,False,FEMALE,4,17,437,3,5,0.5625,0.0,0.20619325698069704
philoclee,Philoclée,False,FEMALE,14,54,2050,8,25,0.9,0.2824074074074074,0.41053165326876695
philoxene,Philoxène,False,MALE,10,71,3307,7,19,0.8181818181818182,0.1388888888888889,0.38718499869418727
anaxaris,Anaxaris,False,MALE,12,58,2546,5,17,0.6923076923076923,0.06944444444444445,0.2917800046631626
iphite,Iphite,False,MALE,4,17,353,2,5,0.5,0.0,0.11558100591641504
hesione,Hésione,False,FEMALE,2,6,86,1,2,0.5,0.0,0.06988479781628601
cleophis,Cléophis,False,MALE,1,10,485,5,5,0.6923076923076923,0.0,0.3279268370811519
