id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
carlin,Carlin,False,MALE,19,92,1719,9,42,1.0,0.06415343915343914,0.34742964686304184
lise,Lise,False,FEMALE,10,55,696,8,23,0.9,0.046296296296296294,0.31403587430157603
le-marquis,Le Marquis de Lorgnac,False,MALE,24,321,5726,9,54,1.0,0.06415343915343914,0.34742964686304184
cascaret,Cascaret,False,UNKNOWN,1,1,4,3,3,0.6,0.0,0.12734403548938908
le-chevalier,Le Chevalier,False,MALE,11,83,1862,8,29,0.9,0.003968253968253968,0.33315732918756885
oronte,Oronte,False,MALE,8,49,854,8,20,0.9,0.003968253968253968,0.33315732918756885
lucrece,Lucrèce,False,FEMALE,18,86,1180,8,39,0.9,0.003968253968253968,0.33315732918756885
olimpe,Olimpe,False,FEMALE,19,128,2090,7,39,0.8181818181818182,0.0,0.29796177150969433
virgine,Virgine,False,FEMALE,22,152,2311,8,52,0.9,0.003968253968253968,0.33315732918756885
anselme,Anselme,False,MALE,10,94,1116,8,27,0.9,0.003968253968253968,0.33315732918756885
