id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
celie,Célie,False,FEMALE,8,44,548,5,15,0.6923076923076923,0.0,0.22628935374713222
clarin,Clarin,False,MALE,14,101,1731,9,36,1.0,0.04999999999999999,0.3624164943804852
don-fadrique,Don Fadrique,False,MALE,16,129,3250,8,39,0.9,0.022685185185185187,0.3361690819023038
elvire,Elvire,False,FEMALE,15,110,3031,9,38,1.0,0.04999999999999999,0.3624164943804852
don-cesar,Don César,False,MALE,8,58,1389,7,22,0.8181818181818182,0.011111111111111112,0.3012294525204823
beatrix,Béatrix,False,FEMALE,9,35,316,7,20,0.8181818181818182,0.011111111111111112,0.30122945252048233
alonse,Alonse,False,MALE,4,10,89,5,10,0.6923076923076923,0.0,0.22628935374713222
don-felix,Don Félix,False,MALE,16,110,2945,8,35,0.9,0.022685185185185183,0.3361690819023038
isabelle,Isabelle,False,FEMALE,14,100,2309,9,34,1.0,0.04999999999999999,0.3624164943804852
leonel,Leonel,False,MALE,6,30,471,7,15,0.8181818181818182,0.004629629629629629,0.3099216694241224
