id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
federic,Fédéric,False,MALE,16,112,3154,10,34,0.7777777777777778,0.13872318158032443,0.3733944765985149
octave,Octave,False,MALE,9,41,812,9,22,0.7368421052631579,0.08477237048665623,0.35084420281156403
flore,Flore,False,FEMALE,5,18,387,4,9,0.5185185185185185,0.0052328623757195184,0.15957636666186936
isabelle,Isabelle,False,FEMALE,10,78,2565,8,17,0.7,0.0708529565672423,0.3237361573014452
alfonse,Alfonse,False,UNKNOWN,1,4,225,3,3,0.4827586206896552,0.0,0.11731841165576147
jodelet,Jodelet,False,MALE,13,147,3511,10,31,0.7777777777777778,0.21789638932496075,0.3612565206526307
pascal,Pascal,False,MALE,1,14,200,1,1,0.45161290322580644,0.0,0.04947056706399427
enrique,Enrique,False,MALE,9,64,1027,7,19,0.6666666666666666,0.14285714285714288,0.29525476770581816
un-soldat,Un Soldat,False,UNKNOWN,1,1,68,1,1,0.4117647058823529,0.0,0.040432310831947406
julie,Julie,False,FEMALE,2,9,261,4,5,0.56,0.0,0.19760186192409107
laure,Laure,False,FEMALE,11,59,2080,9,24,0.7368421052631579,0.061747776033490326,0.357481534406892
le-roi,Le Roi,False,UNKNOWN,9,58,1870,9,20,0.7368421052631579,0.09099947671376245,0.34893593297392944
sanche,Sanche,False,MALE,1,2,37,3,3,0.5,0.0,0.14478170314931835
edouard,Edouard,False,MALE,4,31,398,5,10,0.5833333333333334,0.01109366823652538,0.21468424491303956
un-garde,Un Garde,False,UNKNOWN,1,1,1,3,3,0.5,0.0,0.12665278770612964
