id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
thalie,Thalie,False,FEMALE,1,9,262,5,5,0.16129032258064516,0.0,3.6385757881587166e-06
le-genie,Le Genie,False,UNKNOWN,1,11,304,5,5,0.16129032258064516,0.0,3.6385757881587166e-06
la-nymphe,La Nymphe,False,UNKNOWN,1,1,46,5,5,0.16129032258064516,0.0,3.6385757881587166e-06
le-berger,Le Berger,False,UNKNOWN,1,1,22,5,5,0.16129032258064516,0.0,3.6385757881587166e-06
nymphe,Nymphe,False,UNKNOWN,1,0,62,5,5,0.16129032258064516,0.0,3.6385757881587166e-06
berger,Berger,False,UNKNOWN,1,0,62,5,5,0.16129032258064516,0.0,3.6385757881587166e-06
le-marquis,Le Marquis,False,MALE,23,128,2481,17,57,0.6109481915933528,0.034157706093189966,0.29377714374702857
la-montagne,La Montagne,False,MALE,2,19,497,7,7,0.4582111436950147,0.00035842293906810036,0.1562049889528219
virgine,Virgine,False,UNKNOWN,10,29,855,16,33,0.576036866359447,0.03218637992831542,0.26574091091463575
olimpe,Olimpe,False,FEMALE,22,111,2930,24,71,0.7754342431761786,0.1553405017921147,0.3489467660975521
melisse,Mélisse,False,FEMALE,2,6,60,1,2,0.4032258064516129,0.0,0.028700478779965264
la-comtesse,La Comtesse,False,FEMALE,26,163,3916,23,81,0.7467144563918757,0.10372759856630823,0.34676558457546525
l-amour,L'Amour,False,MALE,3,15,323,9,14,0.49173878835562546,0.004838709677419355,0.18448211913765136
la-jeunesse,La Jeunesse,False,UNKNOWN,1,10,417,4,4,0.42896362388469456,0.0,0.09425189249294205
le-chevalier,Le Chevalier,False,MALE,14,47,1079,18,50,0.6300403225806451,0.04422939068100358,0.30113183498673
comus,Comus,False,UNKNOWN,3,8,344,7,12,0.4582111436950147,0.0008602150537634409,0.14881632867722977
vertumne,Vertumne,False,UNKNOWN,1,5,122,6,6,0.44802867383512546,0.0,0.1264898202025834
pomone,Pomone,False,UNKNOWN,1,4,202,6,6,0.44802867383512546,0.0,0.1264898202025834
la-bohemienne,La Bohemienne,False,UNKNOWN,1,5,427,7,7,0.4582111436950147,0.0,0.15321207918479005
petit-bohemien,Petit Bohemien,False,UNKNOWN,1,3,108,7,7,0.4582111436950147,0.0,0.15321207918479005
petite-bohemienne,Petite Bohemienne,False,UNKNOWN,1,1,30,7,7,0.4582111436950147,0.0,0.15321207918479005
le-vicomte,Le Vicomte,False,MALE,7,56,1418,16,33,0.5929791271347249,0.03207885304659498,0.27413540533408853
cascaret,Cascaret,False,MALE,1,2,5,6,6,0.44802867383512546,0.0,0.1338784804781755
le-comedien,Le Comedien,False,UNKNOWN,3,19,257,13,19,0.530560271646859,0.013727598566308244,0.23593061988709868
alcidon,Alcidon,False,UNKNOWN,1,5,160,5,5,0.43828892005610093,0.0,0.10806187349876999
aminte,Aminte,False,UNKNOWN,1,4,122,5,5,0.43828892005610093,0.0,0.10806187349876999
un-maure,Un Maure,False,UNKNOWN,1,2,82,8,8,0.46886721680420107,0.0,0.17726402715387274
femme-maure,Femme Maure,False,UNKNOWN,1,0,20,8,8,0.46886721680420107,0.0,0.17726402715387274
la-femme-maure,La Femme Maure,False,UNKNOWN,1,1,14,8,8,0.46886721680420107,0.0,0.17726402715387274
zephire,Zéphire,False,MALE,2,19,402,8,8,0.4800307219662058,0.024731182795698924,0.15911249434209895
aglaure,Aglaure,False,FEMALE,2,12,289,2,2,0.31017369727047145,0.0,0.026173642237475602
cephise,Céphise,False,MALE,2,18,485,8,8,0.4800307219662058,0.024731182795698924,0.15911249434209895
