id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
nicandre,Nicandre,False,MALE,14,80,3448,9,24,0.8461538461538461,0.12727272727272726,0.40334312015350166
arcas,Arcas,False,MALE,7,24,1024,6,12,0.6875,0.02424242424242424,0.31436634033439903
cleomene,Cleomene,False,UNKNOWN,10,71,3811,8,17,0.7857142857142857,0.11212121212121211,0.36517109950362064
la-reine,La Reine,False,UNKNOWN,12,54,2688,10,27,0.9166666666666666,0.22727272727272727,0.41956446173993645
cresphonte,Cresphonte,False,MALE,1,4,241,4,4,0.5789473684210527,0.0,0.21706748712572613
leontidas,Leontidas,False,MALE,1,2,191,4,4,0.5789473684210527,0.0,0.2170674871257261
cleone,Cléone,False,FEMALE,6,21,838,2,7,0.4583333333333333,0.0,0.10369203419402608
eriphile,Eriphile,False,FEMALE,16,77,4261,7,22,0.7333333333333333,0.09090909090909091,0.3356177471841932
doride,Doride,False,FEMALE,2,6,428,3,4,0.55,0.0,0.17568577436728033
trasille,Trasille,False,UNKNOWN,1,3,59,2,2,0.5238095238095238,0.0,0.12122613137035308
timocrate,Timocrate,False,MALE,5,19,894,7,13,0.7333333333333333,0.09090909090909091,0.3356177471841932
trasile,Trasile,False,MALE,1,2,98,4,4,0.6111111111111112,0.0,0.23081469935924828
