id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
une-panthere,Une Panthère,False,MALE,1,1,34,20,20,1,0,0.21821789023599242
un-chacal,Un Chacal,False,MALE,1,1,10,20,20,1,0,0.21821789023599242
un-rhinoceros,Un Rhinocéros,False,MALE,1,1,13,20,20,1,0,0.21821789023599242
un-renard,Un Renard,False,MALE,1,1,21,20,20,1,0,0.21821789023599242
une-brebis,Une Brebis,False,MALE,1,1,3,20,20,1,0,0.21821789023599242
une-genisse,Une Génisse,False,MALE,1,1,17,20,20,1,0,0.21821789023599242
les-tigres,Les Tigres,False,MALE,1,1,11,20,20,1,0,0.21821789023599242
l-elephant,L'Eléphant,False,MALE,1,1,15,20,20,1,0,0.21821789023599242
l-ours,L'Ours,False,MALE,1,1,15,20,20,1,0,0.21821789023599242
la-girafe,Le Girafe,False,MALE,1,1,10,20,20,1,0,0.21821789023599242
les-crocodiles,Les Crocodiles,False,MALE,1,1,7,20,20,1,0,0.21821789023599242
les-caïmans,Les Caïmans,False,UNKNOWN,1,1,6,20,20,1,0,0.21821789023599242
les-alligators,Les Alligators,False,MALE,1,1,5,20,20,1,0,0.21821789023599242
les-gorilles,Les Gorilles,False,MALE,1,6,33,20,20,1,0,0.21821789023599242
les-orangs-outangs,Les Orangs-Outangs,False,MALE,1,6,33,20,20,1,0,0.21821789023599242
ensemble,Ensemble,False,UNKNOWN,1,2,31,20,20,1,0,0.21821789023599242
un-jeune-daim,Un Jeune Daim,False,MALE,1,1,10,20,20,1,0,0.21821789023599242
un-vieux-cerf,Un Vieux Cerf,False,MALE,1,1,6,20,20,1,0,0.21821789023599242
une-biche,Une Biche,False,MALE,1,1,15,20,20,1,0,0.21821789023599242
l-autruche,L'Autruche,False,MALE,1,1,8,20,20,1,0,0.21821789023599242
un-vieux-cheval,Un Vieux Cheval,False,UNKNOWN,1,1,8,20,20,1,0,0.21821789023599242
