id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
soliman,Soliman,False,MALE,15,76,1930,13,43,0.8823529411764706,0.08396825396825397,0.34023946461912785
acmat,Acmat,False,MALE,11,31,1423,12,31,0.8333333333333334,0.05714285714285715,0.32610812881750345
rustan,Rustan,False,MALE,13,52,1201,13,35,0.8823529411764706,0.1388888888888889,0.3148298672097858
osman,Osman,False,MALE,4,14,567,7,9,0.6521739130434783,0.0,0.23311734940350787
persine,Persine,False,FEMALE,10,51,2736,10,27,0.75,0.013333333333333334,0.2965532394886789
alvante,Alvante,False,MALE,7,43,1478,9,20,0.7142857142857143,0.006349206349206349,0.27564652738091533
la-reine,La Reine,False,FEMALE,9,46,1876,12,26,0.8333333333333334,0.04746031746031747,0.330425017863256
seline,Seline,False,FEMALE,5,13,280,5,10,0.6,0.0015873015873015873,0.1485356088216501
mustapha,Mustapha,False,MALE,8,35,1580,13,24,0.8823529411764706,0.12380952380952379,0.333413262629697
le-soldat,Le Soldat,False,UNKNOWN,4,7,197,7,11,0.6521739130434783,0.0061904761904761916,0.2197532056868389
ormene,Ormène,False,MALE,5,21,925,8,13,0.6818181818181818,0.035555555555555556,0.2074933853306036
adraste,Adraste,False,MALE,1,1,17,3,3,0.5555555555555556,0.0,0.08997229030618181
un-messager,Un Messager,False,UNKNOWN,1,1,32,3,3,0.5555555555555556,0.0,0.08997229030618181
le-devin,Le Devin,False,UNKNOWN,1,7,146,3,3,0.5555555555555556,0.0,0.10316085004177603
un-gentilhomme,Un Gentilhomme,False,UNKNOWN,1,1,7,7,7,0.6521739130434783,0.0,0.22351636700480298
l-ambassadeur-de-perse,L'Ambassadeur de Perse,False,MALE,1,2,350,7,7,0.6521739130434783,0.0,0.22351636700480298
