id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
marton,Marton,False,FEMALE,19,71,1614,12,61,0.7352941176470589,0.0014705882352941176,0.2723394872478799
bartolin,Bartolin,False,MALE,11,44,748,12,35,0.7352941176470589,0.0014705882352941176,0.2723394872478799
belise,Belise,False,FEMALE,19,81,1382,15,69,0.8823529411764706,0.06397058823529413,0.29428678517243356
garbatacase,Garbatacase,False,MALE,4,31,628,12,22,0.7352941176470589,0.0014705882352941176,0.27233948724787993
celide,Celide,False,FEMALE,8,22,461,11,28,0.696594427244582,0.0,0.2544319567586964
valere,Valère,False,MALE,4,32,683,12,22,0.7352941176470589,0.0014705882352941176,0.27233948724787993
frontin,Frontin,False,MALE,3,34,744,12,20,0.7352941176470589,0.0014705882352941176,0.27233948724787993
la-comtesse,La Comtesse,False,FEMALE,11,41,1004,15,50,0.8823529411764706,0.06397058823529413,0.2942867851724335
clitandre,Clitandre,False,MALE,9,26,354,15,46,0.8823529411764706,0.06397058823529413,0.2942867851724335
jasmin,Jasmin,False,MALE,1,1,12,3,3,0.4901960784313726,0.0,0.07340858101620469
la-marquise,La Marquise,False,FEMALE,7,28,587,14,38,0.8272058823529411,0.03455882352941176,0.2886514708543236
le-caissier,Le Caissier,False,MALE,1,14,511,5,5,0.5294117647058824,0.0,0.10624372295236661
l-intendante,L'Intendante,False,FEMALE,1,1,2,5,5,0.5294117647058824,0.0,0.10624372295236661
eraste,Eraste,False,MALE,4,21,454,12,28,0.7352941176470589,0.0014705882352941176,0.27233948724787993
le-marquis,Le Marquis,False,MALE,2,10,204,10,13,0.6617647058823529,0.0,0.23327643765528183
choeur,Choeur,False,UNKNOWN,1,1,274,11,11,0.696594427244582,0.0,0.2544319567586964
ensemble,Ensemble,False,UNKNOWN,1,1,175,1,1,0.058823529411764705,0.0,1.236382574474447e-08
merlin,Merlin,False,UNKNOWN,1,1,73,1,1,0.058823529411764705,0.0,1.236382574474447e-08
