id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
le-diable,Le Diable,False,MALE,2,30,1249,3,5,0.4827586206896552,0.0,0.0790636113383788
therese,Thérèse,False,FEMALE,2,19,567,3,5,0.4827586206896552,0.0,0.0790636113383788
sanchette,Sanchette,False,FEMALE,2,17,463,3,5,0.4827586206896552,0.0,0.0790636113383788
angelique,Angélique,False,FEMALE,12,45,709,10,30,0.7777777777777778,0.1456043956043956,0.402712517698907
marton,Marton,False,FEMALE,18,97,1726,11,38,0.8235294117647058,0.2206959706959707,0.4213241342855517
un-laquais,Un Laquais,False,MALE,1,1,25,2,2,0.4827586206896552,0.0,0.12349815010702832
madame-lucas,Madame Lucas,False,FEMALE,9,56,1056,8,23,0.7,0.09249084249084251,0.33620127099394037
lepine,Lépine,False,MALE,6,32,684,10,19,0.7777777777777778,0.3782051282051282,0.3694153003051306
eraste,Eraste,False,MALE,3,10,160,6,11,0.6363636363636364,0.005494505494505495,0.30862062953884023
leandre,Léandre,False,MALE,1,3,38,5,5,0.6086956521739131,0.0,0.2648014249701519
griffonnet,Griffonnet,False,MALE,1,1,7,5,5,0.6086956521739131,0.0,0.2648014249701519
cascaret,Cascaret,False,MALE,3,4,36,4,8,0.5185185185185185,0.003663003663003663,0.195285415149965
le-commissaire,Le Commissaire,False,MALE,1,10,194,3,3,0.5,0.0,0.17388450872771113
monsieur-corbeau,Monsieur Corbeau,False,MALE,1,9,159,3,3,0.5,0.0,0.1427973493497982
le-notaire,Le Notaire,False,MALE,1,8,137,4,4,0.5833333333333334,0.0,0.22924900263624812
