id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
lisette,Lisette,False,FEMALE,10,58,965,7,17,0.6296296296296297,0.04754901960784314,0.25258933293585617
eraste,Eraste,False,MALE,3,23,453,5,8,0.5862068965517241,0.019076797385620917,0.19581905223694113
la-fleche,La Flèche,False,MALE,4,15,285,5,10,0.5862068965517241,0.019076797385620917,0.19581905223694113
mariane,Mariane,False,FEMALE,4,25,338,4,7,0.4358974358974359,0.003676470588235294,0.12192469000826561
monsieur-bernard,Monsieur Bernard,False,MALE,25,138,1813,16,44,0.9444444444444444,0.5789624183006536,0.48519599971110483
thibaut,Thibaut,False,MALE,11,38,970,6,19,0.6071428571428571,0.021732026143790852,0.256487787520721
le-soldat,Le Soldat,False,UNKNOWN,1,5,70,1,1,0.5,0.0,0.07111720536973594
monsieur-griffard,Monsieur Griffard,False,MALE,6,31,439,8,15,0.6296296296296297,0.034313725490196074,0.30696349109995313
le-marquis,Le Marquis,False,MALE,6,23,512,5,14,0.5666666666666667,0.004289215686274509,0.22826754296276022
le-baron,Le Baron,False,MALE,3,10,174,5,9,0.5666666666666667,0.004289215686274509,0.22826754296276022
madame-bernard,Madame Bernard,False,FEMALE,7,21,317,8,15,0.6538461538461539,0.05433006535947713,0.2804374404105236
le-cousin,Le Cousin,False,UNKNOWN,2,22,534,5,5,0.5862068965517241,0.028880718954248367,0.18759615698607174
la-cousine,La Cousine,False,UNKNOWN,1,4,39,3,3,0.5483870967741935,0.0,0.13971924221383575
nicole,Nicole,False,FEMALE,1,4,119,1,1,0.5,0.0,0.07111720536973594
dorante,Dorante,False,MALE,4,34,394,6,10,0.5862068965517241,0.007352941176470587,0.24860161256745766
premier-houbereau,Premier Houbereau,False,UNKNOWN,2,5,58,5,8,0.5666666666666667,0.0,0.21581311947195175
deuxieme-houbereau,Deuxieme Houbereau,False,UNKNOWN,2,7,97,5,8,0.5666666666666667,0.0,0.21581311947195175
troisieme-houbereau,Troisieme Houbereau,False,UNKNOWN,2,4,39,5,8,0.5666666666666667,0.0,0.21581311947195175
