id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
mercure,Mercure,False,MALE,13,61,1726,10,23,0.6666666666666666,0.17818295739348364,0.2948064679876232
la-paix,La Paix,False,FEMALE,3,13,380,5,8,0.5263157894736842,0.022531328320802003,0.15315585390529357
bacchus,Bacchus,False,MALE,7,41,853,11,18,0.6666666666666666,0.12713032581453634,0.3332295630195664
l-amour,L'Amour,False,MALE,10,37,834,11,22,0.6666666666666666,0.10318295739348368,0.32102994535047474
thalie,Thalie,False,FEMALE,2,5,157,5,7,0.5263157894736842,0.022531328320802003,0.15315585390529357
un-thessalien,Un Thessalien,False,UNKNOWN,2,2,391,4,4,0.4444444444444444,0.09999999999999999,0.07925559919458117
jupiter,Jupiter,False,MALE,9,70,1725,5,14,0.5555555555555556,0.007456140350877192,0.18232039264651248
faunus,Faunus,False,MALE,17,111,2337,16,35,0.8,0.3074937343358396,0.43401170829853936
corine,Corine,False,FEMALE,13,104,2004,8,18,0.5714285714285714,0.03201754385964912,0.239137261577609
junon,Junon,False,FEMALE,6,36,762,4,5,0.5128205128205128,0.0043859649122807015,0.15214914981047484
l-inconstance,L'Inconstance,False,FEMALE,3,13,416,5,8,0.5555555555555556,0.005614035087719298,0.17953778590760028
philene,Philène,False,MALE,4,17,414,5,9,0.5,0.0,0.16251570678166022
merope,Mérope,False,FEMALE,7,47,1580,8,13,0.6060606060606061,0.04912280701754386,0.2555080017471755
philis,Philis,False,UNKNOWN,1,1,98,5,5,0.5,0.0,0.16251570678166022
tircis,Tircis,False,UNKNOWN,1,0,27,5,5,0.5,0.0,0.16251570678166022
un-suivant-de-bacchus,Un Suivant de Bacchus,False,UNKNOWN,2,2,89,6,8,0.5405405405405406,0.005263157894736841,0.2074853116668957
une-bacchante,Une Bacchante,False,UNKNOWN,1,1,74,3,3,0.5,0.0,0.12635380328907597
un-petit-amour,Un Petit Amour,False,UNKNOWN,1,1,28,5,5,0.5263157894736842,0.0,0.1929856908916546
une-suivante-de-l-amour,Une Suivante de L Amour,False,UNKNOWN,1,1,28,5,5,0.5263157894736842,0.0,0.1929856908916546
venus,Vénus,False,FEMALE,7,25,452,5,12,0.5555555555555556,0.003508771929824561,0.18300012450597103
une-thessalienne,Une Thessalienne,False,UNKNOWN,1,1,35,1,1,0.3125,0.0,0.01027412820532654
