id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
lelio,Lélio,False,MALE,7,114,2408,10,16,0.9166666666666666,0.2909090909090909,0.3738109539424486
scapin,Scapin,False,MALE,1,5,115,1,1,0.5,0.0,0.05184091278114918
mario,Mario,False,MALE,3,32,807,7,10,0.7333333333333333,0.0,0.3381752472338052
arlequin,Arlequin,False,MALE,14,275,6034,10,23,0.9166666666666666,0.2909090909090909,0.3738109539424486
pantalon,Pantalon,False,MALE,4,28,388,7,12,0.7333333333333333,0.0,0.3381752472338052
flaminia,Flaminia,False,FEMALE,5,72,1172,7,14,0.7333333333333333,0.0,0.3381752472338052
violette,Violette,False,FEMALE,3,30,223,7,12,0.7333333333333333,0.0,0.3381752472338052
le-marchand,Le Marchand,False,UNKNOWN,3,41,430,3,6,0.5789473684210527,0.0,0.12037606468778646
l-archer,L Archer,False,UNKNOWN,2,27,258,3,5,0.5789473684210527,0.0,0.12037606468778646
le-passant,Le Passant,False,UNKNOWN,1,45,745,1,1,0.5,0.0,0.05184091278114918
l-amour,L'Amour,False,MALE,1,3,184,7,7,0.7333333333333333,0.0,0.3381752472338052
l-hymen,L'Hymen,False,MALE,1,2,57,7,7,0.7333333333333333,0.0,0.3381752472338052
