id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
madame-de-chepy,Madame de Chepy,False,FEMALE,11,63,1502,8,25,0.7857142857142857,0.09151515151515151,0.35675649503905077
picard,Picard,False,MALE,2,5,77,3,4,0.5238095238095238,0.0,0.1385320486886299
mademoiselle-beaulieu,Mademoiselle Beaulieu,False,FEMALE,13,41,803,9,26,0.8461538461538461,0.12696969696969695,0.3913330253618939
flamand,Flamand,False,MALE,3,10,342,4,6,0.5789473684210527,0.01212121212121212,0.18763048680996927
monsieur-hardouin,Monsieur Hardouin,False,UNKNOWN,30,210,4673,9,43,0.8461538461538461,0.233030303030303,0.3807371902271265
le-laquais,Le Laquais,False,UNKNOWN,4,17,336,1,3,0.4782608695652174,0.0,0.05636736297412341
madame-bertrand,Madame Bertrand,False,FEMALE,13,80,1640,8,30,0.7857142857142857,0.10272727272727272,0.36244014586629536
monsieur-renardeau,Monsieur Renardeau,False,MALE,6,52,1064,7,20,0.7333333333333333,0.011818181818181818,0.3492719543457975
monsieur-de-surmont,Monsieur de Surmont,False,MALE,5,28,616,5,10,0.6470588235294118,0.0,0.26812684592704455
monsieur-poultier,Monsieur Poultier,False,MALE,5,46,943,7,12,0.7333333333333333,0.07636363636363637,0.32730111366686576
l-enfant,L Enfant,False,UNKNOWN,1,2,23,2,2,0.4782608695652174,0.0,0.10211443357815678
tous-ensemble,Tous Ensemble,False,UNKNOWN,1,1,3,5,5,0.6470588235294118,0.0,0.2724880021138227
