id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
pancrace,Pancrace,False,MALE,9,74,2486,8,23,0.7,0.0,0.26305340631243607
floridon,Floridon,False,MALE,8,76,1873,14,32,1.0,0.17582417582417584,0.3486446367300702
polydas,Polydas,False,MALE,10,94,3693,10,29,0.7777777777777778,0.010989010989010988,0.3069516714829297
lidiane,Lidiane,False,FEMALE,8,54,2324,14,32,1.0,0.17582417582417584,0.34864463673007023
amarille,Amarille,False,FEMALE,6,60,1697,11,25,0.8235294117647058,0.040293040293040296,0.31811701196911446
pysandre,Pysandre,False,MALE,9,79,1632,10,32,0.7777777777777778,0.010989010989010988,0.30695167148292973
cleanide,Cléanide,False,FEMALE,5,41,615,10,25,0.7777777777777778,0.010989010989010988,0.30695167148292973
luciane,Luciane,False,FEMALE,8,50,1441,8,24,0.7,0.0,0.26305340631243607
echo,Echo,False,UNKNOWN,1,23,24,7,7,0.6666666666666666,0.0,0.2292679166814662
la-fortune,La Fortune,False,UNKNOWN,1,5,113,7,7,0.6666666666666666,0.0,0.2292679166814662
premier-pecheur,Premier Pecheur,False,UNKNOWN,2,4,63,4,5,0.5833333333333334,0.003663003663003663,0.11662592278223914
second-pecheur,Second Pecheur,False,UNKNOWN,1,4,33,3,3,0.56,0.0,0.08617072968397867
le-juge,Le Juge,False,MALE,2,26,1047,10,12,0.7777777777777778,0.04395604395604395,0.28533133913143266
le-procureur,Le Procureur,False,UNKNOWN,1,13,334,4,4,0.5833333333333334,0.0,0.11635011255340205
le-greffier,Le Greffier,False,UNKNOWN,1,1,35,4,4,0.5833333333333334,0.0,0.11635011255340205
