id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
silvanire,Silvanire,False,FEMALE,13,82,1339,9,30,1.0,0.07037037037037036,0.36186697604114765
marton,Marton,False,FEMALE,22,177,3584,9,40,1.0,0.07037037037037036,0.36186697604114765
monsieur-polidor,Monsieur Polidor,False,MALE,3,29,569,3,7,0.6,0.0,0.1435995192444703
lisandre,Lisandre,False,MALE,25,217,4582,8,44,0.9,0.014814814814814814,0.34509109921131104
pasquin,Pasquin,False,MALE,15,139,3375,7,22,0.8181818181818182,0.004629629629629629,0.3128161483514251
henriette,Henriette,False,FEMALE,8,33,516,7,18,0.8181818181818182,0.004629629629629629,0.3128161483514251
alcippe,Alcippe,False,MALE,5,13,441,6,11,0.75,0.0,0.27627199837902505
orasie,Orasie,False,FEMALE,15,103,2090,9,32,1.0,0.07037037037037036,0.36186697604114765
hortense,Hortense,False,FEMALE,12,101,2155,8,23,0.9,0.014814814814814814,0.34509109921131104
lisette,Lisette,False,FEMALE,9,57,831,6,17,0.75,0.0,0.27627199837902505
