id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
isabelle,Isabelle,False,FEMALE,16,61,861,8,41,0.9,0.08333333333333333,0.3498949756714884
paquette,Paquette,False,FEMALE,17,88,1411,8,46,0.9,0.04629629629629629,0.3559757857100007
cleante,Cléante,False,MALE,8,50,421,7,27,0.8181818181818182,0.0,0.3378371418955221
monsieur-godard,Monsieur Godard,False,MALE,16,78,1076,9,46,1.0,0.15740740740740738,0.3680336194859671
picard,Picard,False,MALE,10,36,280,7,30,0.8181818181818182,0.0,0.3378371418955221
l-angevin,L'Angevin,False,MALE,3,6,26,7,16,0.8181818181818182,0.0,0.3378371418955221
torine,Torine,False,MALE,4,5,15,7,22,0.8181818181818182,0.0,0.3378371418955221
champagne,Champagne,False,MALE,13,84,1805,8,34,0.9,0.04629629629629629,0.3559757857100007
oriane,Oriane,False,FEMALE,2,7,53,2,3,0.5625,0.0,0.09926501435377402
la-sage-femme,La Sage-Femme,False,FEMALE,2,18,274,3,5,0.6,0.0,0.14932501482674065
