id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
achitophel,Achitophel,False,MALE,11,29,2161,5,16,0.6428571428571429,0.05208333333333333,0.2736759634996601
absalon,Absalon,False,MALE,19,73,2805,7,29,0.8181818181818182,0.1710648148148148,0.3710515280648571
david,David,False,MALE,11,55,3312,7,25,0.8181818181818182,0.05046296296296295,0.3996193741160843
joab,Joab,False,MALE,3,8,771,6,8,0.75,0.035648148148148144,0.35522564888025515
zamri,Zamri,False,MALE,3,6,272,2,5,0.5,0.0,0.10801568771654968
thares,Tharès,False,FEMALE,12,40,2266,7,22,0.8181818181818182,0.23680555555555555,0.36922421798388094
thamar,Thamar,False,FEMALE,5,8,413,5,9,0.6923076923076923,0.009027777777777777,0.3093746805968724
la-reine,La Reine,False,UNKNOWN,6,12,425,5,12,0.6428571428571429,0.005555555555555556,0.3071036447061209
cisai,Cisai,False,UNKNOWN,7,19,1047,7,15,0.8181818181818182,0.05046296296296295,0.39961937411608445
l-israelite,L Israelite,False,UNKNOWN,1,3,30,1,1,0.47368421052631576,0.0,0.061858120227817406
