id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
triolet,Triolet,False,MALE,23,129,2117,8,35,0.9,0.014814814814814814,0.339405037828297
lisette,Lisette,False,FEMALE,17,109,1826,8,34,0.9,0.034722222222222224,0.32899838072795673
frosine,Frosine,False,FEMALE,9,62,1007,6,17,0.75,0.0,0.2701642002643578
jacinte,Jacinte,False,FEMALE,15,80,1484,8,33,0.9,0.014814814814814814,0.339405037828297
orgon,Monsieur Orgon,False,MALE,16,72,1446,9,39,1.0,0.05416666666666667,0.3602192194119739
la-marquise,La Marquise,False,FEMALE,10,81,1655,8,31,0.9,0.034722222222222224,0.32899838072795673
champagne,Champagne,False,MALE,1,3,44,4,4,0.6428571428571429,0.0,0.18011004849973805
dorante,Dorante,False,MALE,13,73,912,9,31,1.0,0.05416666666666667,0.3602192194119739
la-joueuse,Madame Orgon,False,FEMALE,19,123,2703,8,24,0.9,0.014814814814814814,0.339405037828297
le-chevalier,Le Chevalier,False,MALE,12,84,1386,6,20,0.75,0.0,0.2701642002643578
