id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
arlequin,Arlequin,False,MALE,9,97,2546,14,22,1.0,0.5695970695970697,0.5118240214494735
colombine,Colombine,False,FEMALE,3,25,449,4,6,0.5833333333333334,0.003663003663003663,0.2036797370667481
pierrot,Pierrot,False,MALE,3,18,505,5,5,0.6086956521739131,0.02197802197802198,0.2285503227753836
isabelle,Isabelle,False,FEMALE,4,36,638,7,9,0.6666666666666666,0.05311355311355311,0.32593470408721187
la-fille,La Fille,False,UNKNOWN,2,19,284,4,5,0.5833333333333334,0.003663003663003663,0.17369125113406975
autre-fille,Autre Fille,False,UNKNOWN,2,3,65,4,5,0.5833333333333334,0.003663003663003663,0.17369125113406975
une-des-filles,Une des Filles,False,UNKNOWN,1,1,8,3,3,0.56,0.0,0.14139480380111952
filles,Filles,False,UNKNOWN,1,1,12,3,3,0.56,0.0,0.17138328973379788
l-hymen,L Hymen,False,UNKNOWN,4,4,234,8,12,0.7,0.07326007326007326,0.35745830247246974
le-cabaretier,Le Cabaretier,False,UNKNOWN,1,5,178,4,4,0.5833333333333334,0.0,0.21323280665750308
la-coquette,La Coquette,False,UNKNOWN,1,12,315,4,4,0.5833333333333334,0.0,0.21323280665750308
le-procureur,Le Procureur,False,UNKNOWN,1,6,59,4,4,0.5833333333333334,0.0,0.21323280665750308
le-jardinier,Le Jardinier,False,UNKNOWN,2,12,246,5,7,0.6086956521739131,0.007326007326007326,0.26706317177761324
la-jardiniere,La Jardiniere,False,UNKNOWN,1,5,110,3,3,0.56,0.0,0.18700112030225444
leandre,Leandre,False,UNKNOWN,1,5,126,4,4,0.5833333333333334,0.0,0.24063820602256977
