id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
valere,Valère,False,MALE,10,56,641,6,22,0.75,0.0,0.2671655876941425
l-hotesse,L'Hôtesse,False,FEMALE,10,68,1928,6,23,0.75,0.0,0.2671655876941425
la-tante,La Tante,False,FEMALE,10,26,340,9,28,1.0,0.05,0.3645685748014173
la-veuve,La Veuve,False,FEMALE,8,32,336,9,27,1.0,0.05,0.3645685748014173
la-presidente,La Présidente,False,FEMALE,13,83,1453,7,27,0.8181818181818182,0.011111111111111112,0.30236502118898234
le-president,Le Président,False,MALE,9,60,730,9,26,1.0,0.05,0.3645685748014173
ligournois,Ligournois,False,MALE,4,12,191,6,15,0.75,0.0,0.2671655876941425
le-notaire,Le Notaire,False,UNKNOWN,2,6,146,6,11,0.75,0.0,0.2671655876941425
glacignac,Glacignac,False,MALE,6,49,818,9,15,1.0,0.05,0.3645685748014173
damis,Le Faux Damis,False,MALE,13,111,2654,7,28,0.8181818181818182,0.011111111111111112,0.30236502118898234
