id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
amphitryon,Amphitryon,False,MALE,9,73,2972,7,18,0.8181818181818182,0.1388888888888889,0.4585853786315574
megare,Mégare,False,FEMALE,4,23,1510,4,9,0.6428571428571429,0.009259259259259259,0.33310293672426555
le-choeur,Le Choeur,False,UNKNOWN,8,30,2570,9,19,1.0,0.5277777777777779,0.5037031479756092
lycus,Lycus,False,MALE,3,12,642,4,6,0.6428571428571429,0.009259259259259259,0.3233027147646271
hercule,Hercule,False,MALE,3,74,2773,4,8,0.6428571428571429,0.009259259259259259,0.3233027147646271
demi-choeur,Demi Choeur,False,UNKNOWN,2,8,206,3,3,0.6,0.0,0.2661669716112436
iris,Iris,False,FEMALE,1,3,226,2,2,0.5625,0.0,0.13151620531028027
lyssa,Lyssa,False,FEMALE,1,3,332,2,2,0.5625,0.0,0.13151620531028027
le-messager,Le Messager,False,UNKNOWN,1,6,959,2,2,0.5625,0.0,0.19923100649822167
thesee,Thésée,False,MALE,1,36,940,3,3,0.6,0.0,0.2661669716112436
