id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
murel,Murel,False,MALE,23,232,2778,24,71,0.9,0.12353714661406971,0.2954523598328735
pierre,Pierre,False,MALE,5,24,369,8,12,0.5869565217391305,0.003418803418803419,0.11334761475039608
gruchet,Gruchet,False,MALE,15,145,2121,19,51,0.7714285714285715,0.06762242189592618,0.2339547467807927
madame-rousselin,Madame Rousselin,False,FEMALE,8,52,669,8,29,0.574468085106383,0.002801519468186135,0.1004502582661247
miss-arabelle,Miss Arabelle,False,FEMALE,9,35,509,10,25,0.6136363636363636,0.008114788029317943,0.11658734750742292
onesime,Onésime,False,MALE,3,24,314,10,12,0.6,0.017283950617283952,0.1108998396240472
louise,Louise,False,FEMALE,6,23,230,8,20,0.574468085106383,0.001899335232668566,0.10399296215507813
rousselin,Rousselin,False,MALE,34,386,6604,25,91,0.9310344827586207,0.2261012491781723,0.29469872372932915
tous,Tous,False,UNKNOWN,5,16,70,16,32,0.7105263157894737,0.01927094747607568,0.2461440504089631
marchais,Marchais,False,MALE,4,25,183,18,24,0.75,0.049195217571285955,0.25902909011525177
dodart,Dodart,False,MALE,7,51,797,10,20,0.6136363636363636,0.007893198918839944,0.1264961294736149
bouvigny,Bouvigny,False,UNKNOWN,3,42,498,5,8,0.54,0.0,0.07369681601703076
heurtelot,Heurtelot,False,MALE,4,29,220,15,28,0.6923076923076923,0.02031923442179853,0.2362704325732863
hombourg,Hombourg,False,MALE,5,28,302,16,33,0.7105263157894737,0.02184235517568851,0.24331862387767375
ledru,Ledru,False,MALE,4,25,348,17,31,0.7297297297297297,0.0277229892614508,0.2529537739561876
voinchet,Voinchet,False,MALE,3,14,284,14,26,0.675,0.0010921177587844254,0.23309002103148155
beaumesnil,Beaumesnil,False,MALE,3,15,228,14,26,0.675,0.0010921177587844254,0.23309002103148155
les-electeurs,Les Electeurs,False,UNKNOWN,3,5,24,14,25,0.675,0.0010921177587844254,0.23309002103148155
julien,Julien,False,UNKNOWN,4,43,1063,5,12,0.54,0.0,0.0710125054797019
le-garde-champetre,Le Garde Champetre,False,UNKNOWN,4,15,170,16,21,0.7105263157894737,0.03304965057101809,0.23499466955665185
la-foule,La Foule,False,UNKNOWN,1,1,2,3,3,0.4576271186440678,0.0,0.04981024148432582
des-voix,Des Voix,False,UNKNOWN,1,1,2,4,4,0.5094339622641509,0.0,0.05956789285820009
felicite,Félicité,False,FEMALE,3,10,57,7,9,0.574468085106383,0.004827477049699272,0.10062667799359991
le-garçon-de-cafe,Le Garçon de Cafe,False,UNKNOWN,2,2,7,2,3,0.5,0.0,0.027664372901785323
le-president,Le President,False,UNKNOWN,1,8,75,13,13,0.6585365853658537,0.0,0.2181517400453691
un-electeur,Un Electeur,False,UNKNOWN,1,3,33,13,13,0.6585365853658537,0.0,0.2181517400453691
l-agriculteur,L Agriculteur,False,UNKNOWN,1,3,14,13,13,0.6585365853658537,0.0,0.2181517400453691
le-mendiant,Le Mendiant,False,UNKNOWN,1,5,87,1,1,0.4909090909090909,0.0,0.02010024317282644
