id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
marianne,Marianne,False,FEMALE,9,40,1192,4,17,0.6428571428571429,0.0,0.18006363265897551
helene,Hélène,False,FEMALE,11,67,1453,7,24,0.8181818181818182,0.020833333333333332,0.30313430065640035
genevieve,Geneviève,False,FEMALE,6,64,1050,9,19,1.0,0.07083333333333333,0.36822733634199645
therese,Therese,False,UNKNOWN,5,30,1042,7,12,0.8181818181818182,0.020833333333333332,0.30313430065640035
le-prieur,Le Prieur,False,UNKNOWN,4,47,963,8,16,0.9,0.022222222222222223,0.3469353530869286
madame-dumond,Madame Dumond,False,FEMALE,3,29,417,8,14,0.9,0.022222222222222223,0.3469353530869286
mimi,Mimi,False,FEMALE,3,14,149,8,14,0.9,0.022222222222222223,0.3469353530869286
monique,Monique,False,FEMALE,6,56,1255,9,20,1.0,0.07083333333333333,0.36822733634199645
basile,Basile,False,MALE,1,2,6,6,6,0.75,0.0,0.2752463620114391
le-seigneur,Le Seigneur,False,UNKNOWN,1,4,304,6,6,0.75,0.0,0.2752463620114391
