id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
sosarme,Sosarme,False,FEMALE,9,46,2157,5,11,0.6666666666666666,0.014814814814814815,0.3360593309189028
orphise,Orphise,False,UNKNOWN,4,14,425,4,7,0.625,0.0,0.30044541399817204
ctesiphonte,Ctesiphonte,False,FEMALE,5,19,1792,6,10,0.7142857142857143,0.02962962962962963,0.3918320717085171
ninus,Ninus,False,FEMALE,10,71,4212,8,16,0.8333333333333334,0.2666666666666667,0.4401916194283154
semiramis,Sémiramis,False,FEMALE,9,61,4812,9,14,0.9090909090909091,0.4444444444444445,0.45372126950125813
barsine,Barsine,False,FEMALE,1,4,184,1,1,0.5,0.0,0.08405391081141239
menon,Ménon,False,FEMALE,5,32,1212,3,5,0.5882352941176471,0.0,0.22785731861116576
orante,Orante,False,UNKNOWN,1,4,59,1,1,0.5,0.0,0.08405391081141239
cambise,Cambise,False,FEMALE,1,8,135,1,1,0.47619047619047616,0.0,0.08154702749159543
orondate,Orondate,False,FEMALE,1,3,66,4,4,0.625,0.0,0.2923471049068988
phorbas,Phorbas,False,FEMALE,1,3,120,4,4,0.625,0.0,0.2923471049068988
