id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
valantin,Valantin,False,MALE,12,88,3789,10,23,0.7777777777777778,0.43131868131868134,0.37721227207492075
laurette,Laurette,False,FEMALE,16,113,2266,10,33,0.7368421052631579,0.22802197802197804,0.40115901714542396
catherine,Catherine,False,FEMALE,7,51,843,7,15,0.6363636363636364,0.1098901098901099,0.27983693192482373
petit-jacques,Petit Jacques,False,MALE,6,25,664,4,16,0.4827586206896552,0.0,0.14238549904091535
olivier,Olivier,False,MALE,8,28,548,4,19,0.4827586206896552,0.0,0.14238549904091535
marsault,Marsault,False,MALE,6,12,133,4,16,0.4827586206896552,0.0,0.14238549904091535
francion,Francion,False,MALE,14,137,4693,7,27,0.6363636363636364,0.008241758241758242,0.34627378452973034
anselme,Anselme,False,MALE,13,76,2336,7,25,0.6363636363636364,0.008241758241758242,0.34627378452973034
l-hotesse,L'Hotesse,False,FEMALE,4,32,404,6,10,0.6086956521739131,0.0,0.3103178508666316
la-servante,La Servante,False,FEMALE,2,12,239,6,7,0.6086956521739131,0.0,0.3103178508666316
bertrand,Bertrand,False,MALE,2,11,116,3,4,0.5,0.06593406593406594,0.06873441643456694
leonard,Léonard,False,MALE,1,8,70,2,2,0.35,0.0,0.020267135148138025
lubin,Lubin,False,MALE,2,7,218,3,4,0.5,0.06593406593406594,0.06873441643456694
le-prevot,Le Prévôt,False,MALE,3,18,276,7,9,0.6363636363636364,0.038461538461538464,0.3235932751489663
le-procureur,Le Procureur,False,MALE,1,2,22,2,2,0.4666666666666667,0.0,0.10332054948799144
