id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
honoree,Honorée,False,FEMALE,4,13,230,10,17,0.8125,0.02051282051282051,0.3165498136117309
clementine,Clémentine,False,FEMALE,5,25,376,10,20,0.8125,0.02051282051282051,0.3165498136117309
adele,Adèle,False,FEMALE,4,8,80,8,16,0.7222222222222222,0.019230769230769232,0.23871597150910207
philomene,Philomène,False,FEMALE,4,11,94,12,22,0.9285714285714286,0.09102564102564104,0.3450207085284923
julie,Julie,False,FEMALE,3,6,29,8,14,0.7222222222222222,0.019230769230769232,0.23871597150910207
rosine,Rosine,False,FEMALE,3,10,99,11,16,0.8666666666666667,0.0782051282051282,0.3238467409280084
la-presidente,La Présidente de la Congrégation,False,FEMALE,5,27,666,13,22,1.0,0.17435897435897438,0.35231763584476977
le-choeur,Le Choeur,False,FEMALE,1,1,19,8,8,0.7222222222222222,0.0,0.26946195609753276
une-voix,Une Voix,False,UNKNOWN,1,1,19,8,8,0.7222222222222222,0.0,0.26946195609753276
solo-2eme,Solo 2eme,False,UNKNOWN,1,1,21,8,8,0.7222222222222222,0.0,0.26946195609753276
solo-5eme,Solo 5eme,False,UNKNOWN,1,1,24,8,8,0.7222222222222222,0.0,0.26946195609753276
la-commissionnaire,La Commissionnaire,False,UNKNOWN,2,7,36,2,3,0.5416666666666666,0.0,0.0739850332381453
toutes,Toutes,False,UNKNOWN,1,1,3,5,5,0.6190476190476191,0.0,0.14433522641469196
choeur,Choeur,False,UNKNOWN,1,1,3,5,5,0.6190476190476191,0.0,0.14433522641469196
