id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
julien,Julien,False,MALE,9,47,1304,6,14,0.75,0.0,0.32358222224637756
le-bailli,Le Bailli,False,MALE,2,17,538,6,7,0.75,0.0,0.32358222224637756
babet,Babet,False,FEMALE,4,16,293,6,12,0.75,0.0,0.32358222224637756
jerome,Jérome,False,MALE,19,89,1751,9,44,1.0,0.2037037037037037,0.40156325002599547
jean-louis,Jean-Louis,False,MALE,11,38,380,5,30,0.6923076923076923,0.018518518518518517,0.23163529528511964
bastien,Bastien,False,MALE,11,42,428,5,30,0.6923076923076923,0.018518518518518517,0.23163529528511964
les-deux-aveugles,Les Deux Aveugles,False,UNKNOWN,2,3,14,3,6,0.6,0.0,0.1307010164567459
lisidor,Lisidor,False,MALE,2,12,266,6,7,0.75,0.0,0.32358222224637756
la-piquette,La Piquette,False,MALE,8,27,518,8,25,0.9,0.07407407407407407,0.3844037995822023
le-garçon,Le Garçon,False,UNKNOWN,4,6,83,8,17,0.9,0.07407407407407407,0.3844037995822023
