id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
morille,Morille,False,MALE,16,114,1734,9,32,0.7647058823529411,0.1004273504273504,0.38242442624126927
lisdor,Lisdor,False,UNKNOWN,5,9,91,7,13,0.6842105263157895,0.019230769230769232,0.3465550011886786
lisidor,Lisidor,False,MALE,4,6,154,6,7,0.65,0.0,0.31883219726421774
dorothee,Dorothée,False,FEMALE,5,25,212,6,12,0.65,0.0,0.31883219726421774
eutrope,Monsieur Eutrope,False,MALE,3,15,300,2,2,0.5,0.0,0.06523558046440067
hilaire,Monsieur Hilaire,False,MALE,14,135,2008,11,25,0.8666666666666667,0.4722222222222222,0.3785541501867044
roline,Roline,False,FEMALE,2,7,37,2,2,0.5,0.0,0.06523558046440067
rosette,Rosette,False,FEMALE,11,43,878,8,26,0.7222222222222222,0.08333333333333333,0.36054490390503086
julie,Julie,False,FEMALE,17,87,1087,9,34,0.7647058823529411,0.11965811965811964,0.3820785097095468
adrian,Adrian,False,MALE,3,9,173,2,5,0.4642857142857143,0.0,0.1091623629134769
rosine,Rosine,False,UNKNOWN,1,3,19,1,1,0.48148148148148145,0.0,0.055646040917933064
hlaire,Hlaire,False,UNKNOWN,1,1,3,2,2,0.52,0.0,0.11186080714738518
moille,Moille,False,UNKNOWN,1,1,2,3,3,0.5652173913043478,0.0,0.16802467271319427
lisimon,Lisimon,False,UNKNOWN,1,1,36,4,4,0.52,0.0,0.21631919314607712
