id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
mercure,Mercure,False,MALE,8,27,598,9,16,0.8461538461538461,0.2727272727272727,0.3617060982746784
la-cabale,La Cabale,False,FEMALE,1,8,289,1,1,0.4782608695652174,0.0,0.05377341800891016
apollon,Apollon,False,MALE,6,24,834,10,19,0.9166666666666666,0.22424242424242424,0.4067655222694224
l-auteur-comique,L Auteur Comique,False,UNKNOWN,2,12,337,3,6,0.5789473684210527,0.0,0.13419613804800376
l-auteur-tragique,L Auteur Tragique,False,UNKNOWN,2,10,304,3,6,0.5789473684210527,0.0,0.13419613804800376
la-critique,La Critique,False,FEMALE,2,11,292,6,8,0.6875,0.0,0.3200095451272334
melpomene,Melpomene,False,FEMALE,2,7,146,8,10,0.7857142857142857,0.0606060606060606,0.37202862659392544
thalie,Thalie,False,FEMALE,2,9,94,8,10,0.7857142857142857,0.0606060606060606,0.37202862659392544
le-genie-de-corneille,Le Génie de Corneille,False,MALE,1,1,170,6,6,0.6875,0.0,0.3200095451272334
le-genie-de-moliere,Le Génie de Molière,False,MALE,1,1,216,6,6,0.6875,0.0,0.3200095451272334
l-acteur-tragique,L Acteur Tragique,False,UNKNOWN,1,1,27,4,4,0.5789473684210527,0.0,0.20096367335552534
l-acteur-comique,L Acteur Comique,False,UNKNOWN,1,1,24,4,4,0.5789473684210527,0.0,0.20096367335552534
