id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
prologue,Prologue,False,UNKNOWN,1,1,469,0,0,0.0,0.0,3.117052578218119e-14
l-ombre-d-antoine,L'Ombre d'Antoine,False,MALE,1,1,873,0,0,0.0,0.0,3.117052578218119e-14
cleopatre,Cléopâtre,False,FEMALE,3,36,2450,6,10,0.6400000000000001,0.06666666666666667,0.42183145983226344
eras,Eras,False,MALE,2,14,292,4,7,0.5333333333333333,0.0,0.3214764886886091
le-choeur,Le Choeur,False,UNKNOWN,5,25,1956,8,14,0.8,0.24444444444444446,0.4950536386255465
charmium,Charmium,False,MALE,2,10,244,4,7,0.5333333333333333,0.0,0.3214764886886091
choeur-de-femmes-alexandrines,Choeur de Femmes Alexandrines,False,UNKNOWN,1,1,755,4,4,0.5333333333333333,0.0,0.3214764886886091
octavien,Octavien,False,UNKNOWN,2,13,1151,5,6,0.5818181818181819,0.044444444444444446,0.3302535068939276
agrippe,Agrippe,False,MALE,1,3,700,3,3,0.49230769230769234,0.0,0.2142501267208464
proculee,Proculée,False,MALE,2,6,1137,3,4,0.49230769230769234,0.0,0.2142501267208464
seleuque,Seleuque,False,MALE,1,12,337,3,3,0.49230769230769234,0.0,0.2570313281006446
