id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
prologue,Prologue,False,UNKNOWN,1,1,630,0,0,0.0,0.0,1.519080511723969e-08
eugene,Eugène,False,MALE,9,72,2446,7,23,0.7901234567901234,0.0,0.3345613804537799
messire-jean,Messire Jean,False,MALE,9,51,2234,7,22,0.7901234567901234,0.0,0.33456138045377987
guillaume,Guillaume,False,MALE,7,26,1086,8,23,0.8888888888888888,0.027777777777777776,0.35831440692132616
alix,Alix,False,FEMALE,3,21,385,8,13,0.8888888888888888,0.027777777777777776,0.3583144069213262
florimond,Florimond,False,MALE,7,47,1878,8,16,0.8888888888888888,0.027777777777777776,0.3583144069213262
pierre,Pierre,False,MALE,2,2,25,4,5,0.5925925925925926,0.0,0.19676857982390678
arnault,Arnault,False,MALE,6,39,1533,8,15,0.8888888888888888,0.027777777777777776,0.3583144069213262
helene,Helene,False,FEMALE,6,34,953,7,18,0.7901234567901234,0.0,0.33456138045377987
matthieu,Matthieu,False,MALE,4,15,272,7,17,0.7901234567901234,0.0,0.33456138045378
