id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
timandre,Timandre,False,MALE,3,5,188,5,6,0.6666666666666666,0.005555555555555556,0.2740280230890551
acis,Acis,False,MALE,3,12,370,5,7,0.6666666666666666,0.005555555555555556,0.2740280230890551
le-choeur,Le Choeur,False,UNKNOWN,3,4,75,8,9,0.8333333333333334,0.13333333333333333,0.41251341088565624
galatee,Galatée,False,FEMALE,7,23,890,10,14,1.0,0.4277777777777778,0.45441081303337855
climene,Climene,False,UNKNOWN,1,0,14,4,4,0.625,0.0,0.21464754156399068
clymene,Clymène,False,MALE,2,2,153,5,6,0.6666666666666666,0.005555555555555556,0.2740280230890551
polypheme,Polyphème,False,UNKNOWN,2,11,447,1,2,0.5263157894736842,0.0,0.07641074567335096
neree,Nérée,False,MALE,1,2,84,5,5,0.6666666666666666,0.0,0.2941756521917287
galatee-neree,Galatee Neree,False,UNKNOWN,1,1,38,5,5,0.6666666666666666,0.0,0.2941756521917287
berger-bergere,Berger Bergere,False,UNKNOWN,1,2,67,5,5,0.6666666666666666,0.0,0.2941756521917287
deux-bergers,Deux Bergers,False,UNKNOWN,1,1,43,5,5,0.6666666666666666,0.0,0.2941756521917287
