id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
la-folie,La Folie,False,FEMALE,3,14,1141,1,2,0.5294117647058824,0.0,0.16719062067480364
la-raison,La Raison,False,FEMALE,13,158,4342,9,12,1.0,0.8888888888888888,0.6114163741683555
damon,Damon,False,UNKNOWN,1,21,1377,2,2,0.5625,0.0,0.23011593463814292
le-bourgeois,Le Bourgeois,False,UNKNOWN,1,26,649,2,2,0.5625,0.0,0.23011593463814292
la-vieille,La Vieille,False,UNKNOWN,1,29,1060,1,1,0.5294117647058824,0.0,0.16719062067480364
le-philosophe,Le Philosophe,False,UNKNOWN,1,21,828,1,1,0.5294117647058824,0.0,0.16719062067480364
le-suisse,Le Suisse,False,UNKNOWN,1,20,1254,1,1,0.5294117647058824,0.0,0.16719062067480364
la-mere,La Mere,False,UNKNOWN,2,16,450,3,5,0.6,0.0,0.3689862310364914
la-fille,Sa Fille,False,FEMALE,2,14,248,3,5,0.6,0.0,0.3689862310364914
l-amant,L'Amant de la Fille,False,MALE,1,6,324,3,3,0.6,0.0,0.3689862310364914
