id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
erato,Erato,False,FEMALE,2,5,539,2,3,0.2222222222222222,0.0,1.1052331709645685e-05
uranie,Uranie,False,FEMALE,2,6,436,2,3,0.2222222222222222,0.0,1.1052331709645685e-05
thalie,Thalie,False,FEMALE,2,3,326,2,2,0.2222222222222222,0.0,1.1052331709645685e-05
calliope,Calliope,False,FEMALE,3,8,334,3,5,0.39999999999999997,0.05555555555555555,0.45110628062480335
clio,Clio,False,FEMALE,3,7,356,3,5,0.39999999999999997,0.05555555555555555,0.45110628062480335
melpomene,Melpomène,False,FEMALE,1,2,496,2,2,0.2857142857142857,0.0,0.3137435957896471
momus,Momus,False,MALE,2,5,447,4,4,0.5,0.25,0.5323678335932459
apollon,Apollon,False,MALE,2,5,265,3,3,0.39999999999999997,0.1388888888888889,0.3291067831007328
euphrosine,Euphrosine,False,FEMALE,1,1,144,2,2,0.3636363636363636,0.0,0.2995770275606231
mercure,Mercure,False,MALE,1,2,151,1,1,0.26666666666666666,0.0,0.11444659246345258
