id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
roxelane,Roxelane,False,FEMALE,7,36,2327,5,8,0.6428571428571429,0.2407407407407407,0.30584640138296176
rustan,Rustan,False,MALE,5,14,625,4,7,0.6428571428571429,0.05555555555555555,0.28002856477944915
soliman,Soliman,False,MALE,16,62,3294,7,22,0.8181818181818182,0.14814814814814814,0.4564817101811801
celonide,Célonide,False,FEMALE,10,39,1700,7,15,0.75,0.2962962962962963,0.41962969162737546
asterie,Astérie,False,MALE,10,30,1039,5,16,0.6923076923076923,0.04629629629629629,0.3721405998825998
zatime,Zatime,False,UNKNOWN,1,1,19,1,1,0.4090909090909091,0.0,0.060683552989431566
le-capigi,Le Capigi,False,UNKNOWN,1,2,16,3,3,0.5625,0.0,0.2293919564756728
ibrahim,Ibrahim,False,MALE,5,24,1655,4,9,0.6,0.0,0.3215039915788234
achomat,Achomat,False,MALE,8,30,1505,5,12,0.6923076923076923,0.04629629629629629,0.3721405998825998
zaïde,Zaïde,False,FEMALE,1,2,27,1,1,0.45,0.0,0.08325935251487498
