id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
hidaspe,Hidaspe,False,MALE,8,14,930,5,10,0.6428571428571429,0.041666666666666664,0.372373406283217
thoas,Thoas,False,MALE,19,48,2601,7,18,0.8181818181818182,0.18518518518518517,0.46010277334374633
anthenor,Anthenor,False,MALE,6,15,1459,3,7,0.5625,0.013888888888888888,0.24133009866559454
iphigenie,Iphigénie,False,FEMALE,15,64,3068,6,15,0.75,0.2546296296296296,0.40524367895627345
taxis,Taxis,False,MALE,4,7,272,2,4,0.5294117647058824,0.0,0.1655393651761569
cyane,Cyane,False,FEMALE,3,10,407,1,3,0.45,0.0,0.082481045485167
thomiris,Thomiris,False,FEMALE,11,30,2046,6,11,0.75,0.3055555555555555,0.35321591080456605
pylade,Pylade,False,MALE,7,24,1259,4,11,0.6,0.0,0.33156092909863244
erine,Erine,False,FEMALE,3,6,141,1,3,0.45,0.0,0.07189227270100197
oreste,Oreste,False,MALE,8,35,1664,5,10,0.6923076923076923,0.0324074074074074,0.39129502410183115
