id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
saint-castin,Saint-Castin,False,MALE,7,62,1744,9,17,1.0,0.2546296296296296,0.43203256934886525
ouzaby,Ouzaby,False,MALE,3,34,1398,6,9,0.75,0.07407407407407407,0.30010829094738756
duo,Duo,False,UNKNOWN,1,1,51,2,2,0.5625,0.0,0.12190874970882432
azakia,Azakia,False,FEMALE,8,42,1653,8,17,0.9,0.11574074074074071,0.41463101855295054
ouzabys,Ouzabys,False,UNKNOWN,1,1,2,3,3,0.6,0.0,0.19094877988144932
zika,Zika,False,FEMALE,5,24,661,7,13,0.8181818181818182,0.055555555555555546,0.3873745752516547
premier-huron,Premier Huron,False,MALE,1,1,44,5,5,0.6923076923076923,0.0,0.3080729868468252
deuxieme-huron,Deuxieme Huron,False,UNKNOWN,1,1,65,5,5,0.6923076923076923,0.0,0.3080729868468252
huron-3e,Huron 3e,False,UNKNOWN,1,1,23,5,5,0.6923076923076923,0.0,0.3080729868468252
quatuor,Quatuor,False,UNKNOWN,1,1,37,4,4,0.6428571428571429,0.0,0.25545029685017706
