id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
pierrot,Pierrot,False,MALE,3,3,68,2,3,0.39999999999999997,0.0,0.18362739765955552
fanchon,Fanchon,False,FEMALE,2,2,77,2,3,0.39999999999999997,0.0,0.18362739765955552
don-juan,Don Juan,False,MALE,5,7,278,6,10,0.6666666666666666,0.23148148148148148,0.5193766910261893
isabelle,Isabelle,False,FEMALE,3,5,130,4,6,0.5,0.009259259259259259,0.4433157288274153
colombine,Colombine,False,FEMALE,1,1,21,3,3,0.4444444444444444,0.0,0.3672547750318853
arlequin,Arlequin,False,MALE,5,11,367,4,8,0.5,0.009259259259259259,0.4433157288274153
un-berger,Un Berger,False,MALE,1,1,32,2,2,0.2222222222222222,0.0,4.36803023784313e-06
une-bergere,Une Bergère,False,FEMALE,1,1,20,2,2,0.2222222222222222,0.0,4.36803023784313e-06
une-autre-bergere,Une Autre Bergere,False,UNKNOWN,1,1,23,2,2,0.2222222222222222,0.0,4.36803023784313e-06
la-statue,La Statue,False,UNKNOWN,2,2,67,3,3,0.4444444444444444,0.0,0.3672547750318853
