id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
la-sultane,La Sultane,False,FEMALE,7,43,2799,5,8,0.625,0.044444444444444446,0.33848745346566095
un-esclave,Un Esclave,False,UNKNOWN,1,1,4,2,2,0.5,0.0,0.15735483227583263
l-aga,L'Aga des Janissaires,False,MALE,9,43,1870,8,17,0.8333333333333334,0.2888888888888889,0.46487020310875155
corchut,Corchut,False,MALE,6,24,1883,5,10,0.6666666666666666,0.02592592592592593,0.36994548597010846
selim,Sélim,False,MALE,12,71,3910,7,15,0.7692307692307693,0.25555555555555554,0.42322511754413544
l-esclave,L Esclave,False,UNKNOWN,2,3,39,3,3,0.5882352941176471,0.0,0.24239402305994645
haly,Haly,False,MALE,7,26,2451,6,13,0.7142857142857143,0.19629629629629627,0.34941583019187755
izaïde,Izaïde,False,FEMALE,1,17,540,1,1,0.45454545454545453,0.0,0.08289779725245414
bajazet,Bajazet,False,MALE,3,10,1402,3,5,0.5555555555555556,0.03333333333333333,0.17980070918461846
herzegoglis,Herzegoglis,False,UNKNOWN,2,3,1344,2,4,0.45454545454545453,0.0,0.10365959649764417
achmet,Achmet,False,MALE,1,4,9,4,4,0.5882352941176471,0.0,0.31271439940459694
